iter	Accuracy	Logloss
0	0.9922879893	0.6677931755
1	0.9886407929	0.6470354263
2	0.991814689	0.6244127763
3	0.991814689	0.6027345701
4	0.991814689	0.5807532408
5	0.991814689	0.5595977626
6	0.991814689	0.541762816
7	0.991814689	0.5231707085
8	0.991814689	0.506469757
9	0.991814689	0.4877508378
10	0.991814689	0.4722478442
11	0.991814689	0.4562806188
12	0.991814689	0.4409360632
13	0.991814689	0.4262212728
14	0.991814689	0.4130084831
15	0.991814689	0.3993757736
16	0.991814689	0.3857935355
17	0.991814689	0.3722667718
18	0.991814689	0.360977235
19	0.991814689	0.3483191507
20	0.991814689	0.3364157209
