iter	Accuracy	Logloss
0	0.8068925948	0.6851023695
1	0.8104723535	0.6780178929
2	0.8154865104	0.6708406828
3	0.8161849999	0.6638703827
4	0.8160103776	0.6567924807
5	0.8150749005	0.6502834592
6	0.8154241453	0.6439451994
7	0.8151871578	0.6374538869
8	0.8151746847	0.631494562
9	0.8161101618	0.6253309268
10	0.816696394	0.6196610955
11	0.8174323026	0.6139830801
12	0.8196026094	0.6081313684
13	0.8202137877	0.6026694837
14	0.8206752897	0.5974403151
15	0.8214486174	0.5919281566
16	0.821273995	0.5870177877
17	0.8219101194	0.5819704932
18	0.8225961359	0.5768864962
19	0.822683447	0.572358689
20	0.8227957043	0.5676139283
21	0.8227707582	0.5633758472
22	0.8230576379	0.5588996202
23	0.8235565589	0.5547809512
24	0.8237311813	0.5506123493
25	0.8246541853	0.5468560898
26	0.8252653637	0.5430098658
27	0.8260012722	0.5389345707
28	0.826812019	0.5351425458
29	0.8271737368	0.531625564
30	0.8268369651	0.5279950073
31	0.8274356704	0.5243069946
32	0.8274356704	0.5207853603
33	0.8284210395	0.5175619608
34	0.829132002	0.5141426138
35	0.8291569481	0.5111188603
36	0.8295436119	0.507882344
37	0.8292816784	0.5049118301
38	0.8299053297	0.5020996817
39	0.8299302758	0.4993448089
40	0.8302795205	0.4966300049
41	0.8303418857	0.4941601372
42	0.8307285495	0.4913969348
43	0.8315767154	0.4889313226
44	0.8317014456	0.4861645813
45	0.8320007983	0.4834759617
46	0.8319134871	0.4811369337
47	0.8321380016	0.4786844062
48	0.8320631634	0.4766629501
49	0.8328240181	0.4745027595
50	0.8328988562	0.4721230622
51	0.8329736944	0.4697791225
52	0.8333229391	0.4675773037
53	0.8333603582	0.4652286624
54	0.8338717523	0.4630252537
55	0.8343706734	0.4613852102
56	0.8345951879	0.4593820636
57	0.8350442169	0.4573084148
58	0.8354682998	0.4555242434
59	0.8356429222	0.4535881081
60	0.8357302334	0.4517137811
61	0.8358549636	0.4499370792
62	0.8359048557	0.4483366793
63	0.8359796939	0.4464792227
64	0.8359921669	0.4446424441
65	0.836491088	0.4431278295
66	0.8364411959	0.4413898629
67	0.8366781834	0.4396781416
68	0.8370149552	0.438183028
69	0.8372519427	0.4367540559
70	0.8378381749	0.435353454
71	0.8380876355	0.4337625996
72	0.8380626894	0.4321883452
73	0.8386115026	0.4307633616
74	0.8389108553	0.42930434
75	0.8394846145	0.427911945
76	0.8396093448	0.4267607844
77	0.8399211705	0.4252069395
78	0.840183104	0.4240712203
79	0.8403951455	0.4227752871
80	0.8407069712	0.4215967678
81	0.8408940666	0.4203123571
82	0.8410562159	0.4190454353
83	0.8411560001	0.4177066966
84	0.8414304067	0.416598823
85	0.8416424482	0.4156873287
86	0.8419792199	0.4147747182
87	0.842490614	0.413841883
88	0.8425280331	0.4127540653
89	0.842914697	0.4119188462
90	0.8432389957	0.4106566044
91	0.8436256595	0.4097366922
92	0.8436506056	0.4088787854
93	0.8440622155	0.4079537707
94	0.8443366221	0.4071465796
95	0.8444239332	0.4060031358
96	0.8446235017	0.4052119858
97	0.8450226385	0.4042647144
98	0.8454841405	0.4035040125
99	0.8456462899	0.4024591552
100	0.8458458583	0.401623354
101	0.8458832774	0.4006347628
102	0.8461826301	0.3996604524
103	0.8464695097	0.3989352499
104	0.8468062814	0.3977516726
105	0.8467813354	0.3967570677
106	0.8471555262	0.3960448361
107	0.8471679992	0.3951585421
108	0.8471305801	0.394242424
109	0.8474174597	0.3932976851
110	0.8478415427	0.392468878
111	0.8480660572	0.3916008628
112	0.8482656256	0.390771955
113	0.8484901401	0.3900333083
114	0.8487396006	0.389128444
115	0.8490514263	0.3884697818
116	0.8492011026	0.3876849345
117	0.8495752934	0.3870442089
118	0.8498497	0.3864192533
119	0.8502613099	0.3855047154
120	0.8505481895	0.38466216
121	0.8506230277	0.3840631098
122	0.8508600152	0.3832951771
123	0.8509223804	0.3827227737
124	0.8511344218	0.382123414
125	0.8517081811	0.3814865034
126	0.8517830192	0.3805896986
127	0.8521696831	0.379732263
128	0.8522694673	0.3789203206
129	0.8525189278	0.3783316699
130	0.8528681726	0.3776113618
131	0.8529804298	0.3769613914
132	0.853067741	0.3762687799
133	0.853504297	0.3756441123
134	0.8537288114	0.374869271
135	0.8541030023	0.3743703278
136	0.8540655832	0.3736544264
137	0.8543025707	0.372958788
138	0.8546268694	0.3721659116
139	0.8545395582	0.371677506
140	0.8546892345	0.3711448326
141	0.8549636411	0.3705142491
142	0.8551756826	0.3697929009
143	0.8551133175	0.3691285059
144	0.8552505207	0.3684463183
145	0.855387724	0.3677960648
146	0.8555249273	0.3671983521
147	0.8557244958	0.3666909795
148	0.8560487945	0.3660870186
149	0.8562358899	0.365568456
150	0.856298255	0.3649759431
151	0.8566724458	0.3644829535
152	0.8568221222	0.3640004409
153	0.8570840557	0.3633733168
154	0.8572586781	0.3629326175
155	0.8574333005	0.3624113342
156	0.8575829768	0.3619560239
157	0.8577326531	0.3614819547
158	0.8579322216	0.3610079609
159	0.858119317	0.3605461787
160	0.8584935078	0.3601836527
161	0.858605765	0.3597471453
162	0.8587304953	0.359270016
163	0.8589051177	0.3587756582
164	0.8591171591	0.3582530898
165	0.8592668355	0.3577500138
166	0.8593915657	0.3573270032
167	0.8593541467	0.3568186891
168	0.8593292006	0.3563490117
169	0.8594788769	0.3559520669
170	0.8597657566	0.3554553805
171	0.8600276901	0.3550369477
172	0.8602522046	0.3546391638
173	0.8604642461	0.354161443
174	0.8605016651	0.3537645496
175	0.860451773	0.3533215719
176	0.860913275	0.3528949232
177	0.8609506941	0.3523666526
178	0.8612625198	0.3518363529
179	0.861349831	0.3514211241
180	0.8616990757	0.3510556289
181	0.8617863869	0.3505953991
182	0.8620732666	0.3501172464
183	0.8621855238	0.3497086113
184	0.8625222955	0.3493024699
185	0.8623850922	0.3488689579
186	0.8624349843	0.3484971684
187	0.8624848765	0.3480768015
188	0.8625347686	0.3476906193
189	0.8625347686	0.3472458651
190	0.862734337	0.3469013433
191	0.8628590673	0.346527833
192	0.8631210008	0.3461069368
193	0.8632831502	0.3457811187
194	0.8633579884	0.3454454149
195	0.863657341	0.3451064557
196	0.8637197061	0.3447338167
197	0.8638818555	0.3443441475
198	0.864118843	0.3440064158
199	0.8643558305	0.3436516528
