iter	Passed	Remaining
0	52	10362
1	106	10514
2	156	10256
3	207	10172
4	255	9961
5	304	9833
6	356	9828
7	405	9725
8	450	9560
9	498	9477
10	548	9417
11	596	9348
12	647	9318
13	699	9294
14	746	9210
15	795	9151
16	844	9092
17	891	9011
18	938	8940
19	986	8874
20	1036	8835
21	1085	8784
22	1139	8765
23	1189	8719
24	1238	8667
25	1291	8641
26	1341	8594
27	1390	8539
28	1441	8501
29	1488	8432
30	1535	8369
31	1581	8301
32	1629	8246
33	1684	8224
34	1731	8160
35	1776	8093
36	1825	8040
37	1873	7985
38	1922	7937
39	1970	7881
40	2019	7832
41	2068	7783
42	2118	7733
43	2170	7695
44	2225	7664
45	2287	7658
46	2341	7622
47	2396	7587
48	2453	7562
49	2512	7538
50	2566	7498
51	2616	7446
52	2668	7400
53	2718	7350
54	2767	7294
55	2815	7238
56	2860	7176
57	2910	7124
58	2957	7067
59	3005	7012
60	3053	6957
61	3100	6900
62	3147	6843
63	3195	6789
64	3241	6731
65	3288	6676
66	3335	6620
67	3381	6563
68	3433	6518
69	3482	6467
70	3532	6417
71	3582	6368
72	3633	6321
73	3685	6275
74	3737	6229
75	3794	6190
76	3842	6138
77	3890	6085
78	3938	6032
79	3985	5978
80	4032	5924
81	4080	5872
82	4125	5815
83	4176	5767
84	4225	5716
85	4274	5665
86	4324	5617
87	4372	5564
88	4419	5512
89	4467	5460
90	4513	5406
91	4562	5356
92	4612	5307
93	4662	5258
94	4717	5214
95	4770	5167
96	4820	5118
97	4868	5066
98	4917	5016
99	4965	4965
100	5014	4915
101	5059	4861
102	5115	4817
103	5165	4768
104	5215	4718
105	5264	4668
106	5313	4618
107	5358	4564
108	5405	4512
109	5452	4461
110	5500	4410
111	5544	4356
112	5591	4304
113	5637	4252
114	5692	4207
115	5739	4156
116	5792	4109
117	5841	4059
118	5891	4009
119	5943	3962
120	5993	3913
121	6041	3862
122	6089	3812
123	6138	3762
124	6188	3712
125	6237	3663
126	6286	3613
127	6335	3563
128	6386	3514
129	6436	3465
130	6484	3415
131	6534	3366
132	6583	3316
133	6630	3265
134	6678	3215
135	6726	3165
136	6773	3115
137	6821	3064
138	6870	3015
139	6920	2965
140	6970	2916
141	7019	2867
142	7071	2818
143	7131	2773
144	7179	2723
145	7228	2673
146	7279	2624
147	7328	2574
148	7376	2524
149	7421	2473
150	7472	2424
151	7526	2376
152	7579	2328
153	7629	2279
154	7673	2227
155	7727	2179
156	7773	2129
157	7825	2080
158	7874	2030
159	7920	1980
160	7972	1931
161	8020	1881
162	8068	1831
163	8116	1781
164	8166	1732
165	8219	1683
166	8272	1634
167	8324	1585
168	8372	1535
169	8416	1485
170	8466	1435
171	8511	1385
172	8558	1335
173	8606	1286
174	8657	1236
175	8708	1187
176	8762	1138
177	8809	1088
178	8854	1038
179	8902	989
180	8947	939
181	8998	889
182	9047	840
183	9097	791
184	9146	741
185	9197	692
186	9248	642
187	9299	593
188	9349	544
189	9398	494
190	9448	445
191	9516	396
192	9563	346
193	9609	297
194	9658	247
195	9710	198
196	9756	148
197	9801	99
198	9848	49
199	9895	0
