Metoda,BERT,RoBERTa,SBERT
metoda1-1,,,0.4166666666666667
metoda1-2,0.6296296296296297,0.6545454545454545,0.1904761904761904
metoda1-3,0.6545454545454545,0.6545454545454545,0.6545454545454545
metoda1-4,0.6545454545454545,,0.6666666666666666
metoda1-5,,,0.625
metoda10,0.4878048780487805,0.625,0.6666666666666666
metoda11,0.5128205128205128,0.5,0.631578947368421
metoda12-catboost,0.6153846153846154,0.6,0.7368421052631579
metoda12-rf,0.5789473684210527,0.4848484848484848,0.631578947368421
metoda13,0.5581395348837209,0.5454545454545454,0.6875
metoda14,0.2962962962962963,0.4848484848484848,0.6111111111111112
metoda15,0.5365853658536586,0.4705882352941176,0.631578947368421
metoda16,0.4117647058823529,0.4848484848484848,0.6111111111111112
metoda17,0.6545454545454545,0.6545454545454545,0.6153846153846154
metoda18,0.4102564102564102,0.4,0.6829268292682927
metoda19,0.6,0.4242424242424242,0.5714285714285714
metoda2,0.5365853658536586,0.4705882352941176,0.631578947368421
metoda20,0.5365853658536586,0.4705882352941176,0.631578947368421
metoda3,0.5365853658536586,0.4705882352941176,0.5128205128205128
metoda4,0.5365853658536586,0.4705882352941176,0.6545454545454545
metoda5,0.5641025641025641,0.4375,0.6666666666666666
metoda6,0.5365853658536586,0.4705882352941176,0.631578947368421
metoda7,0.5128205128205128,0.5454545454545454,0.5945945945945946
metoda8,0.5365853658536586,0.4705882352941176,0.631578947368421
metoda9,0.4324324324324324,0.4375,0.6842105263157895
