Metoda,BERT,RoBERTa,SBERT
metoda1-1,,,0.8333333333333334
metoda1-2,0.4722222222222222,0.4864864864864865,0.6666666666666666
metoda1-3,0.4864864864864865,0.4864864864864865,0.4864864864864865
metoda1-4,0.4864864864864865,,0.5
metoda1-5,,,0.7142857142857143
metoda10,0.4347826086956521,0.7142857142857143,0.6666666666666666
metoda11,0.4761904761904761,0.5714285714285714,0.6
metoda12-catboost,0.5714285714285714,0.75,0.7
metoda12-rf,0.55,0.5333333333333333,0.6
metoda13,0.48,0.6,0.7857142857142857
metoda14,0.4444444444444444,0.5333333333333333,0.6111111111111112
metoda15,0.4782608695652174,0.5,0.6
metoda16,0.4375,0.5333333333333333,0.6111111111111112
metoda17,0.4864864864864865,0.4864864864864865,0.5714285714285714
metoda18,0.3809523809523809,0.5,0.6086956521739131
metoda19,0.5454545454545454,0.4666666666666667,0.5882352941176471
metoda2,0.4782608695652174,0.5,0.6
metoda20,0.4782608695652174,0.5,0.6
metoda3,0.4782608695652174,0.5,0.4761904761904761
metoda4,0.4782608695652174,0.5,0.4864864864864865
metoda5,0.5238095238095238,0.5,0.6190476190476191
metoda6,0.4782608695652174,0.5,0.6
metoda7,0.4761904761904761,0.6,0.5789473684210527
metoda8,0.4782608695652174,0.5,0.6
metoda9,0.4210526315789473,0.5,0.65
