Metoda,BERT,RoBERTa,SBERT
metoda1-1,,,0.2777777777777778
metoda1-2,0.9444444444444444,1.0,0.1111111111111111
metoda1-3,1.0,1.0,1.0
metoda1-4,1.0,,1.0
metoda1-5,,,0.5555555555555556
metoda10,0.5555555555555556,0.5555555555555556,0.6666666666666666
metoda11,0.5555555555555556,0.4444444444444444,0.6666666666666666
metoda12-catboost,0.6666666666666666,0.5,0.7777777777777778
metoda12-rf,0.6111111111111112,0.4444444444444444,0.6666666666666666
metoda13,0.6666666666666666,0.5,0.6111111111111112
metoda14,0.2222222222222222,0.4444444444444444,0.6111111111111112
metoda15,0.6111111111111112,0.4444444444444444,0.6666666666666666
metoda16,0.3888888888888889,0.4444444444444444,0.6111111111111112
metoda17,1.0,1.0,0.6666666666666666
metoda18,0.4444444444444444,0.3333333333333333,0.7777777777777778
metoda19,0.6666666666666666,0.3888888888888889,0.5555555555555556
metoda2,0.6111111111111112,0.4444444444444444,0.6666666666666666
metoda20,0.6111111111111112,0.4444444444444444,0.6666666666666666
metoda3,0.6111111111111112,0.4444444444444444,0.5555555555555556
metoda4,0.6111111111111112,0.4444444444444444,1.0
metoda5,0.6111111111111112,0.3888888888888889,0.7222222222222222
metoda6,0.6111111111111112,0.4444444444444444,0.6666666666666666
metoda7,0.5555555555555556,0.5,0.6111111111111112
metoda8,0.6111111111111112,0.4444444444444444,0.6666666666666666
metoda9,0.4444444444444444,0.3888888888888889,0.7222222222222222
