Metoda,BERT,RoBERTa,SBERT
metoda1-1,0.5,0.5,0.8
metoda1-2,0.5,0.5,0.7
metoda1-3,0.5,0.4,0.8
metoda1-4,0.5,0.5,0.5
metoda1-5,0.3,0.5,0.8
metoda10,0.5,0.6,0.7
metoda11,0.5,0.4,0.6
metoda12-catboost,0.5,0.6,0.7
metoda12-rf,0.1,0.5,0.4
metoda13,0.6,0.6,0.8
metoda14,0.7,0.5,0.5
metoda15,0.4,0.3,0.6
metoda16,0.4,0.6,0.7
metoda17,0.5,0.5,0.6
metoda18,0.5,0.8,0.7
metoda19,0.6,0.4,0.8
metoda2,0.4,0.3,0.6
metoda20,0.4,0.3,0.6
metoda3,0.4,0.3,0.5
metoda4,0.4,0.3,0.5
metoda5,0.5,0.3,0.8
metoda6,0.4,0.3,0.6
metoda7,0.3,0.6,0.6
metoda8,0.4,0.3,0.6
metoda9,0.4,0.3,0.6
