Metoda,BERT,RoBERTa,SBERT
metoda1-1,,,0.6
metoda1-2,,,0.4
metoda1-3,,-0.1999999999999999,0.6
metoda1-5,-0.3999999999999999,,0.6
metoda10,,0.1999999999999999,0.4
metoda11,,-0.1999999999999999,0.1999999999999999
metoda12-catboost,,0.1999999999999999,0.4
metoda12-rf,-0.8,,-0.1999999999999999
metoda13,0.1999999999999999,0.1999999999999999,0.6
metoda14,0.4,,
metoda15,-0.1999999999999999,-0.3999999999999999,0.1999999999999999
metoda16,-0.1999999999999999,0.1999999999999999,0.4
metoda17,,,0.1999999999999999
metoda18,,0.6,0.4
metoda19,0.1999999999999999,-0.1999999999999999,0.6
metoda2,-0.1999999999999999,-0.3999999999999999,0.1999999999999999
metoda20,-0.1999999999999999,-0.3999999999999999,0.1999999999999999
metoda3,-0.1999999999999999,-0.3999999999999999,
metoda4,-0.1999999999999999,-0.3999999999999999,
metoda5,,-0.3999999999999999,0.6
metoda6,-0.1999999999999999,-0.3999999999999999,0.1999999999999999
metoda7,-0.3999999999999999,0.1999999999999999,0.1999999999999999
metoda8,-0.1999999999999999,-0.3999999999999999,0.1999999999999999
metoda9,-0.1999999999999999,-0.3999999999999999,0.1999999999999999
