Metoda,BERT,RoBERTa,SBERT
metoda1-1,,0.6666666666666666,0.75
metoda1-2,0.6666666666666666,,0.7692307692307693
metoda1-3,0.6666666666666666,0.5714285714285714,0.8333333333333334
metoda1-4,0.6666666666666666,0.6666666666666666,0.6666666666666666
metoda1-5,,,0.75
metoda10,0.2857142857142857,0.5,0.6666666666666666
metoda11,0.4444444444444444,0.4,0.6666666666666666
metoda12-catboost,0.5454545454545454,0.5,0.7272727272727273
metoda12-rf,0.1818181818181818,0.4444444444444444,0.4
metoda13,0.5,0.6666666666666666,0.8
metoda14,0.7272727272727273,0.2857142857142857,0.5454545454545454
metoda15,0.4,,0.6666666666666666
metoda16,0.4,0.6,0.6666666666666666
metoda17,,,0.7142857142857143
metoda18,0.2857142857142857,0.8,0.7272727272727273
metoda19,0.6666666666666666,0.25,0.8
metoda2,0.4,,0.6666666666666666
metoda20,0.4,,0.6666666666666666
metoda3,0.4,,0.2857142857142857
metoda4,0.4,,0.6666666666666666
metoda5,0.4444444444444444,0.2222222222222222,0.8333333333333334
metoda6,0.4,,0.6666666666666666
metoda7,0.3636363636363636,0.6,0.6666666666666666
metoda8,0.4,,0.6666666666666666
metoda9,0.4,0.3636363636363636,0.6
