Metoda,BERT,RoBERTa,SBERT
metoda1-1,,,0.6546536707079772
metoda1-2,,,0.5
metoda1-3,,-0.3333333333333333,0.6546536707079772
metoda1-5,-0.5,,0.6546536707079772
metoda10,,0.2182178902359924,0.408248290463863
metoda11,,-0.2,0.2182178902359924
metoda12-catboost,,0.2182178902359924,0.408248290463863
metoda12-rf,-0.816496580927726,,-0.2
metoda13,0.2182178902359924,0.2182178902359924,0.6
metoda14,0.408248290463863,,
metoda15,-0.2,-0.5,0.2182178902359924
metoda16,-0.2,0.2,0.408248290463863
metoda17,,,0.3333333333333333
metoda18,,0.6,0.408248290463863
metoda19,0.2182178902359924,-0.2182178902359924,0.6
metoda2,-0.2,-0.5,0.2182178902359924
metoda20,-0.2,-0.5,0.2182178902359924
metoda3,-0.2,-0.5,
metoda4,-0.2,-0.5,
metoda5,,-0.408248290463863,0.6546536707079772
metoda6,-0.2,-0.5,0.2182178902359924
metoda7,-0.408248290463863,0.2,0.2182178902359924
metoda8,-0.2,-0.5,0.2182178902359924
metoda9,-0.2,-0.408248290463863,0.2
