Metoda,BERT,RoBERTa,SBERT
metoda1-1,,0.5,1.0
metoda1-2,0.5,,0.625
metoda1-3,0.5,0.4444444444444444,0.7142857142857143
metoda1-4,0.5,0.5,0.5
metoda1-5,,,1.0
metoda10,0.5,0.6666666666666666,0.75
metoda11,0.5,0.4,0.5714285714285714
metoda12-catboost,0.5,0.6666666666666666,0.6666666666666666
metoda12-rf,0.1666666666666666,0.5,0.4
metoda13,0.6666666666666666,0.5714285714285714,0.8
metoda14,0.6666666666666666,0.5,0.5
metoda15,0.4,,0.5714285714285714
metoda16,0.4,0.6,0.75
metoda17,,,0.5555555555555556
metoda18,0.5,0.8,0.6666666666666666
metoda19,0.5714285714285714,0.3333333333333333,0.8
metoda2,0.4,,0.5714285714285714
metoda20,0.4,,0.5714285714285714
metoda3,0.4,,0.5
metoda4,0.4,,0.5
metoda5,0.5,0.25,0.7142857142857143
metoda6,0.4,,0.5714285714285714
metoda7,0.3333333333333333,0.6,0.5714285714285714
metoda8,0.4,,0.5714285714285714
metoda9,0.4,0.3333333333333333,0.6
