Metoda,BERT,RoBERTa,SBERT
metoda1-1,0.2799999999999999,0.64,0.92
metoda1-2,0.32,0.56,0.92
metoda1-3,0.52,0.56,0.96
metoda1-4,0.72,0.64,0.8400000000000001
metoda1-5,0.2799999999999999,0.44,0.92
metoda10,0.36,0.6,0.6400000000000001
metoda11,0.28,0.48,0.76
metoda12-catboost,0.44,0.5,0.76
metoda12-rf,0.2,0.38,0.6200000000000001
metoda13,0.48,0.6000000000000001,0.8400000000000001
metoda14,0.76,0.72,0.36
metoda15,0.16,0.44,0.72
metoda16,0.16,0.48,0.84
metoda17,0.24,0.92,0.8400000000000001
metoda18,0.48,0.72,0.64
metoda19,0.32,0.4399999999999999,0.92
metoda2,0.16,0.44,0.72
metoda20,0.16,0.44,0.72
metoda3,0.16,0.44,0.64
metoda4,0.16,0.44,0.5
metoda5,0.48,0.32,0.92
metoda6,0.16,0.44,0.72
metoda7,0.36,0.56,0.7200000000000001
metoda8,0.16,0.44,0.72
metoda9,0.36,0.48,0.6799999999999999
