Metoda,BERT,RoBERTa,SBERT
metoda1-1,,1.0,0.6
metoda1-2,1.0,,1.0
metoda1-3,1.0,0.8,1.0
metoda1-4,1.0,1.0,1.0
metoda1-5,,,0.6
metoda10,0.2,0.4,0.6
metoda11,0.4,0.4,0.8
metoda12-catboost,0.6,0.4,0.8
metoda12-rf,0.2,0.4,0.4
metoda13,0.4,0.8,0.8
metoda14,0.8,0.2,0.6
metoda15,0.4,,0.8
metoda16,0.4,0.6,0.6
metoda17,,,1.0
metoda18,0.2,0.8,0.8
metoda19,0.8,0.2,0.8
metoda2,0.4,,0.8
metoda20,0.4,,0.8
metoda3,0.4,,0.2
metoda4,0.4,,1.0
metoda5,0.4,0.2,1.0
metoda6,0.4,,0.8
metoda7,0.4,0.6,0.8
metoda8,0.4,,0.8
metoda9,0.4,0.4,0.6
