Metoda,BERT,RoBERTa,SBERT
metoda1-1,0.6,0.6,0.9
metoda1-2,0.6,0.5,0.9
metoda1-3,0.6,0.6,0.9
metoda1-4,0.6,0.6,0.9
metoda1-5,0.6,0.7,0.9
metoda10,0.7,0.9,1.0
metoda11,0.7,0.6,1.0
metoda12-catboost,0.9,0.6,1.0
metoda12-rf,1.0,0.7,0.9
metoda13,0.9,0.8,1.0
metoda14,0.8,0.8,1.0
metoda15,0.6,0.7,1.0
metoda16,0.4,0.9,1.0
metoda17,0.6,0.5,1.0
metoda18,0.9,0.6,0.9
metoda19,0.8,1.0,0.9
metoda2,0.6,0.7,1.0
metoda20,0.6,0.7,1.0
metoda3,0.6,0.7,0.9
metoda4,0.6,0.7,0.5
metoda5,0.7,0.7,1.0
metoda6,0.6,0.7,1.0
metoda7,0.6,0.8,0.9
metoda8,0.6,0.7,1.0
metoda9,0.9,0.8,0.9
