Metoda,BERT,RoBERTa,SBERT
metoda1-1,0.1999999999999999,0.1999999999999999,0.8
metoda1-2,0.1999999999999999,,0.8
metoda1-3,0.1999999999999999,0.1999999999999999,0.8
metoda1-4,0.1999999999999999,0.1999999999999999,0.8
metoda1-5,0.1999999999999999,0.4,0.8
metoda10,0.4,0.8,1.0
metoda11,0.4,0.1999999999999999,1.0
metoda12-catboost,0.8,0.1999999999999999,1.0
metoda12-rf,1.0,0.4,0.8
metoda13,0.8,0.6,1.0
metoda14,0.6,0.6,1.0
metoda15,0.1999999999999999,0.4,1.0
metoda16,-0.1999999999999999,0.8,1.0
metoda17,0.1999999999999999,,1.0
metoda18,0.8,0.1999999999999999,0.8
metoda19,0.6,1.0,0.8
metoda2,0.1999999999999999,0.4,1.0
metoda20,0.1999999999999999,0.4,1.0
metoda3,0.1999999999999999,0.4,0.8
metoda4,0.1999999999999999,0.4,
metoda5,0.4,0.4,1.0
metoda6,0.1999999999999999,0.4,1.0
metoda7,0.1999999999999999,0.6,0.8
metoda8,0.1999999999999999,0.4,1.0
metoda9,0.8,0.6,0.8
