Metoda,BERT,RoBERTa,SBERT
metoda1-1,0.5,0.5,0.8888888888888888
metoda1-2,0.5,,0.8888888888888888
metoda1-3,0.5,0.6,0.8888888888888888
metoda1-4,0.5,0.6,0.8888888888888888
metoda1-5,0.5,0.6666666666666666,0.8888888888888888
metoda10,0.7272727272727273,0.9090909090909092,1.0
metoda11,0.6666666666666666,0.5,1.0
metoda12-catboost,0.8888888888888888,0.5,1.0
metoda12-rf,1.0,0.6666666666666666,0.8888888888888888
metoda13,0.8888888888888888,0.8333333333333334,1.0
metoda14,0.8333333333333334,0.8,1.0
metoda15,0.6,0.6666666666666666,1.0
metoda16,0.25,0.9090909090909092,1.0
metoda17,0.6666666666666666,,1.0
metoda18,0.8888888888888888,0.6,0.8888888888888888
metoda19,0.75,1.0,0.9090909090909092
metoda2,0.6,0.6666666666666666,1.0
metoda20,0.6,0.6666666666666666,1.0
metoda3,0.6,0.6666666666666666,0.9090909090909092
metoda4,0.6,0.6666666666666666,0.6666666666666666
metoda5,0.6666666666666666,0.6666666666666666,1.0
metoda6,0.6,0.6666666666666666,1.0
metoda7,0.6,0.8,0.8888888888888888
metoda8,0.6,0.6666666666666666,1.0
metoda9,0.8888888888888888,0.8,0.9090909090909092
