Metoda,BERT,RoBERTa,SBERT
metoda1-1,0.2182178902359924,0.2182178902359924,0.816496580927726
metoda1-2,0.2182178902359924,,0.816496580927726
metoda1-3,0.2182178902359924,0.2,0.816496580927726
metoda1-4,0.2182178902359924,0.2,0.816496580927726
metoda1-5,0.2182178902359924,0.408248290463863,0.816496580927726
metoda10,0.408248290463863,0.816496580927726,1.0
metoda11,0.408248290463863,0.2182178902359924,1.0
metoda12-catboost,0.816496580927726,0.2182178902359924,1.0
metoda12-rf,1.0,0.408248290463863,0.816496580927726
metoda13,0.816496580927726,0.6546536707079772,1.0
metoda14,0.6546536707079772,0.6,1.0
metoda15,0.2,0.408248290463863,1.0
metoda16,-0.2182178902359924,0.816496580927726,1.0
metoda17,0.2182178902359924,,1.0
metoda18,0.816496580927726,0.2,0.816496580927726
metoda19,0.6546536707079772,1.0,0.816496580927726
metoda2,0.2,0.408248290463863,1.0
metoda20,0.2,0.408248290463863,1.0
metoda3,0.2,0.408248290463863,0.816496580927726
metoda4,0.2,0.408248290463863,
metoda5,0.408248290463863,0.408248290463863,1.0
metoda6,0.2,0.408248290463863,1.0
metoda7,0.2,0.6,0.816496580927726
metoda8,0.2,0.408248290463863,1.0
metoda9,0.816496580927726,0.6,0.816496580927726
