Metoda,BERT,RoBERTa,SBERT
metoda1-1,0.6666666666666666,0.6666666666666666,1.0
metoda1-2,0.6666666666666666,,1.0
metoda1-3,0.6666666666666666,0.6,1.0
metoda1-4,0.6666666666666666,0.6,1.0
metoda1-5,0.6666666666666666,0.75,1.0
metoda10,0.6666666666666666,0.8333333333333334,1.0
metoda11,0.75,0.6666666666666666,1.0
metoda12-catboost,1.0,0.6666666666666666,1.0
metoda12-rf,1.0,0.75,1.0
metoda13,1.0,0.7142857142857143,1.0
metoda14,0.7142857142857143,0.8,1.0
metoda15,0.6,0.75,1.0
metoda16,0.3333333333333333,0.8333333333333334,1.0
metoda17,0.5714285714285714,,1.0
metoda18,1.0,0.6,1.0
metoda19,1.0,1.0,0.8333333333333334
metoda2,0.6,0.75,1.0
metoda20,0.6,0.75,1.0
metoda3,0.6,0.75,0.8333333333333334
metoda4,0.6,0.75,0.5
metoda5,0.75,0.75,1.0
metoda6,0.6,0.75,1.0
metoda7,0.6,0.8,1.0
metoda8,0.6,0.75,1.0
metoda9,1.0,0.8,0.8333333333333334
