Metoda,BERT,RoBERTa,SBERT
metoda1-1,0.76,0.72,1.0
metoda1-2,0.76,0.72,0.96
metoda1-3,0.6799999999999999,0.72,1.0
metoda1-4,0.76,0.72,1.0
metoda1-5,0.6799999999999999,0.72,1.0
metoda10,0.8,0.8400000000000001,1.0
metoda11,0.8,0.6799999999999999,1.0
metoda12-catboost,0.8600000000000001,0.7,1.0
metoda12-rf,1.0,0.8200000000000001,1.0
metoda13,0.8,0.8800000000000001,1.0
metoda14,1.0,0.96,1.0
metoda15,0.6799999999999999,0.8,1.0
metoda16,0.56,1.0,1.0
metoda17,0.72,0.6,1.0
metoda18,0.8400000000000001,0.76,0.96
metoda19,0.8400000000000001,1.0,1.0
metoda2,0.6799999999999999,0.8,1.0
metoda20,0.6799999999999999,0.8,1.0
metoda3,0.6799999999999999,0.8,0.96
metoda4,0.6799999999999999,0.8,0.5
metoda5,0.88,0.92,1.0
metoda6,0.6799999999999999,0.8,1.0
metoda7,0.72,0.8,1.0
metoda8,0.6799999999999999,0.8,1.0
metoda9,0.88,0.88,1.0
