Metoda,BERT,RoBERTa,SBERT
metoda1-1,0.4,0.4,0.8
metoda1-2,0.4,,0.8
metoda1-3,0.4,0.6,0.8
metoda1-4,0.4,0.6,0.8
metoda1-5,0.4,0.6,0.8
metoda10,0.8,1.0,1.0
metoda11,0.6,0.4,1.0
metoda12-catboost,0.8,0.4,1.0
metoda12-rf,1.0,0.6,0.8
metoda13,0.8,1.0,1.0
metoda14,1.0,0.8,1.0
metoda15,0.6,0.6,1.0
metoda16,0.2,1.0,1.0
metoda17,0.8,,1.0
metoda18,0.8,0.6,0.8
metoda19,0.6,1.0,1.0
metoda2,0.6,0.6,1.0
metoda20,0.6,0.6,1.0
metoda3,0.6,0.6,1.0
metoda4,0.6,0.6,1.0
metoda5,0.6,0.6,1.0
metoda6,0.6,0.6,1.0
metoda7,0.6,0.8,0.8
metoda8,0.6,0.6,1.0
metoda9,0.8,0.8,1.0
