Metoda,BERT,RoBERTa,SBERT
metoda1-1,,,1.0
metoda1-2,,1.0,1.0
metoda1-3,,1.0,1.0
metoda1-4,,,1.0
metoda1-5,,1.0,1.0
metoda10,,1.0,1.0
metoda11,,1.0,1.0
metoda12-catboost,,1.0,1.0
metoda12-rf,0.6666666666666666,,1.0
metoda13,0.6666666666666666,,1.0
metoda14,0.6666666666666666,,1.0
metoda15,0.6666666666666666,,1.0
metoda16,,,1.0
metoda17,,,1.0
metoda18,,0.6666666666666666,1.0
metoda19,,,1.0
metoda2,0.6666666666666666,,1.0
metoda20,0.6666666666666666,,1.0
metoda3,0.6666666666666666,1.0,1.0
metoda4,0.6666666666666666,,0.6666666666666666
metoda5,0.6666666666666666,,1.0
metoda6,0.6666666666666666,,1.0
metoda7,,1.0,1.0
metoda8,0.6666666666666666,,1.0
metoda9,,0.6666666666666666,1.0
