Metoda,BERT,RoBERTa,SBERT
metoda1-1,0.6273617260086051,0.6808630043025503,0.9461245868928104
metoda1-2,0.6241192242938205,0.5940637276298559,0.9485564631788987
metoda1-3,0.6042900791918688,0.6469414479017273,0.9382677558146786
metoda1-4,0.6216873480077321,0.6332855272183077,0.934713475088857
metoda1-5,0.6186319136995697,0.678742907027499,0.9367088607594936
metoda10,0.6320384111741597,0.685227910457068,0.9397019392654486
metoda11,0.6229968198540874,0.6913387790733928,0.9087111055683732
metoda12-catboost,0.627174658601983,0.6813618507202095,0.861694830703997
metoda12-rf,0.6920870486998815,0.7160316767475213,0.8663715158695516
metoda13,0.6809253601047578,0.7045582091413606,0.9388289580345452
metoda14,0.6989461869426951,0.7246991332543493,0.917191494668579
metoda15,0.6249922055247241,0.6766851655546549,0.8273367836877221
metoda16,0.6920870486998815,0.7245744216499346,0.917191494668579
metoda17,0.5940013718276486,0.568996695142483,0.920683419592193
metoda18,0.6314772089542932,0.6827960341709796,0.9234270748893184
metoda19,0.6929600299307851,0.7187753320446467,0.8722329612770469
metoda2,0.6249922055247241,0.6766851655546549,0.8273367836877221
metoda20,0.6249922055247241,0.6766851655546549,0.8273367836877221
metoda3,0.6249922055247241,0.6766851655546549,0.786618444846293
metoda4,0.6249922055247241,0.6766851655546549,0.568996695142483
metoda5,0.6869738729188751,0.7090478269002931,0.9340275612645756
metoda6,0.6249922055247241,0.6766851655546549,0.8273367836877221
metoda7,0.634283220053626,0.6885951237762674,0.829519236764981
metoda8,0.6249922055247241,0.6766851655546549,0.8273367836877221
metoda9,0.6392093284280103,0.6876597867431564,0.9116418282721208
