Metoda,BERT,RoBERTa,SBERT
metoda1-1,0.2606968752887025,0.3590511534825631,0.8898677193480274
metoda1-2,0.25836593690616,0.072382509160946,0.894973827015929
metoda1-3,0.1732896633558385,0.2289061185717367,0.8743240435921531
metoda1-4,0.2675815709356997,0.1860639071065337,0.8659255655174838
metoda1-5,0.2101811900896611,0.3278686062765837,0.8704719702171285
metoda10,0.2536016840018662,0.3494472636971443,0.8770003111441551
metoda11,0.2205544193518539,0.3695439281626911,0.8129790525451817
metoda12-catboost,0.2706231425836055,0.3596767921185672,0.7211703623819083
metoda12-rf,0.3669332595478868,0.4161838937208684,0.723976553168503
metoda13,0.3599175138450696,0.4046028730555876,0.8754425508256966
metoda14,0.3878796066333806,0.4342536984890727,0.8308237816411207
metoda15,0.2613674748223669,0.3575330865630048,0.6457514915823281
metoda16,0.3669332595478868,0.4339173356813268,0.8308178334611479
metoda17,0.1618445789865642,,0.8368275516842449
metoda18,0.2580963079025876,0.3550760120882051,0.843968904569809
metoda19,0.3722154638912497,0.424755430148456,0.7371584683412093
metoda2,0.2613674748223669,0.3575330865630048,0.6457514915823281
metoda20,0.2613674748223669,0.3575330865630048,0.6457514915823281
metoda3,0.2613674748223669,0.3575330865630048,0.5613667071576132
metoda4,0.2613674748223669,0.3575330865630048,
metoda5,0.3560332621500859,0.4014232705898133,0.8652053314197162
metoda6,0.2613674748223669,0.3575330865630048,0.6457514915823281
metoda7,0.2743669732246234,0.3728026181524294,0.6444864123837022
metoda8,0.2613674748223669,0.3575330865630048,0.6457514915823281
metoda9,0.2592654167414265,0.3591120428011716,0.8199764419490796
