Metoda,BERT,RoBERTa,SBERT
metoda1-1,0.2657977540426203,0.3611716329445365,0.8900304235815465
metoda1-2,0.2657281064356045,0.1497733756754014,0.8950168281859922
metoda1-3,0.1761342225111204,0.2672582910012026,0.8743737568295312
metoda1-4,0.2874621751901657,0.2427646184940882,0.8671273765699032
metoda1-5,0.2115706347136706,0.3339314060715757,0.8707997954914181
metoda10,0.2537736488773845,0.3511805942448583,0.8770062777212569
metoda11,0.2217072619602452,0.3695763516089257,0.8134775329928962
metoda12-catboost,0.2830581445634776,0.3616380569983297,0.7235454285200075
metoda12-rf,0.3676184051512633,0.4169544117750945,0.7272786849644992
metoda13,0.3623833186634586,0.4060273637697244,0.8754801581778503
metoda14,0.3879554963207632,0.4349742551462384,0.8309145111402632
metoda15,0.2696457523408652,0.3637267126386782,0.6464260539291131
metoda16,0.3676184051512633,0.4346634981695169,0.8309117250003318
metoda17,0.1625190588498486,,0.8386241982159295
metoda18,0.259174909207002,0.3551481745848737,0.8439758809055458
metoda19,0.37229488182112,0.424875013350225,0.7387348516806925
metoda2,0.2696457523408652,0.3637267126386782,0.6464260539291131
metoda20,0.2696457523408652,0.3637267126386782,0.6464260539291131
metoda3,0.2696457523408652,0.3637267126386782,0.5623708505030246
metoda4,0.2696457523408652,0.3637267126386782,
metoda5,0.356797656109533,0.4022919722240288,0.8653098664020089
metoda6,0.2696457523408652,0.3637267126386782,0.6464260539291131
metoda7,0.2797012556246271,0.374251666253002,0.6534875682837263
metoda8,0.2696457523408652,0.3637267126386782,0.6464260539291131
metoda9,0.2595992360785831,0.3594999954296473,0.8199865072687299
