Metoda,BERT,RoBERTa,SBERT
metoda1-1,0.5861917808219178,0.6722191780821918,0.9608767123287671
metoda1-2,0.5655890410958904,0.979945205479452,0.959013698630137
metoda1-3,0.7275616438356164,0.8974246575342466,0.9411506849315068
metoda1-4,0.5016986301369863,0.932054794520548,0.9651506849315068
metoda1-5,0.7134246575342466,0.7973698630136986,0.9561643835616438
metoda10,0.6607123287671233,0.7655890410958904,0.9486027397260274
metoda11,0.712,0.7344657534246576,0.9347945205479452
metoda12-catboost,0.5407123287671233,0.6745205479452054,0.8431780821917808
metoda12-rf,0.7555068493150685,0.7764383561643836,0.923068493150685
metoda13,0.6686027397260274,0.7038904109589041,0.9422465753424658
metoda14,0.7269041095890411,0.7826849315068494,0.9335890410958904
metoda15,0.5607671232876712,0.6346301369863013,0.8678356164383562
metoda16,0.7555068493150685,0.783013698630137,0.9336986301369864
metoda17,0.681972602739726,1.0,0.9582465753424656
metoda18,0.6363835616438356,0.7125479452054795,0.930958904109589
metoda19,0.7390684931506849,0.7630684931506849,0.9156164383561644
metoda2,0.5607671232876712,0.6346301369863013,0.8678356164383562
metoda20,0.5607671232876712,0.6346301369863013,0.8678356164383562
metoda3,0.5607671232876712,0.6346301369863013,0.838027397260274
metoda4,0.5607671232876712,0.6346301369863013,1.0
metoda5,0.7528767123287671,0.7723835616438356,0.9487123287671232
metoda6,0.5607671232876712,0.6346301369863013,0.8678356164383562
metoda7,0.5925479452054795,0.688,0.919890410958904
metoda8,0.5607671232876712,0.6346301369863013,0.8678356164383562
metoda9,0.7046575342465753,0.7454246575342466,0.9202191780821918
