Metoda,BERT,RoBERTa,SBERT
metoda1-1,0.6,0.2,0.9
metoda1-2,0.7,0.4,0.8
metoda1-3,0.6,0.5,0.8
metoda1-4,0.6,0.5,0.7
metoda1-5,0.6,0.4,0.8
metoda10,0.5,0.7,0.9
metoda11,0.5,0.4,0.8
metoda12-catboost,0.9,0.3,0.7
metoda12-rf,0.6,0.6,1.0
metoda13,0.8,1.0,0.9
metoda14,0.4,0.7,0.9
metoda15,0.7,0.6,0.8
metoda16,0.3,0.9,1.0
metoda17,0.5,0.5,0.9
metoda18,0.5,0.5,0.9
metoda19,0.8,0.7,1.0
metoda2,0.7,0.6,0.8
metoda20,0.7,0.6,0.9
metoda3,0.7,0.6,0.7
metoda4,0.7,0.6,0.5
metoda5,0.8,0.5,0.9
metoda6,0.7,0.6,0.8
metoda7,0.8,0.4,1.0
metoda8,0.7,0.6,0.8
metoda9,1.0,0.8,0.8
