Metoda,BERT,RoBERTa,SBERT
metoda1-1,0.1999999999999999,-0.6000000000000001,0.8
metoda1-2,0.4,-0.1999999999999999,0.6
metoda1-3,0.1999999999999999,,0.6
metoda1-4,0.1999999999999999,,0.4
metoda1-5,0.1999999999999999,-0.1999999999999999,0.6
metoda10,,0.4,0.8
metoda11,,-0.1999999999999999,0.6
metoda12-catboost,0.8,-0.3999999999999999,0.4
metoda12-rf,0.1999999999999999,0.1999999999999999,1.0
metoda13,0.6,1.0,0.8
metoda14,-0.1999999999999999,0.4,0.8
metoda15,0.4,0.1999999999999999,0.6
metoda16,-0.3999999999999999,0.8,1.0
metoda17,,,0.8
metoda18,,,0.8
metoda19,0.6,0.4,1.0
metoda2,0.4,0.1999999999999999,0.6
metoda20,0.4,0.1999999999999999,0.8
metoda3,0.4,0.1999999999999999,0.4
metoda4,0.4,0.1999999999999999,
metoda5,0.6,,0.8
metoda6,0.4,0.1999999999999999,0.6
metoda7,0.6,-0.1999999999999999,1.0
metoda8,0.4,0.1999999999999999,0.6
metoda9,1.0,0.6,0.6
