Metoda,BERT,RoBERTa,SBERT
metoda1-1,0.7142857142857143,0.3333333333333333,0.9090909090909092
metoda1-2,0.7692307692307693,0.5714285714285714,0.8333333333333334
metoda1-3,0.7142857142857143,0.6666666666666666,0.8333333333333334
metoda1-4,0.7142857142857143,0.6666666666666666,0.7272727272727273
metoda1-5,0.7142857142857143,,0.8
metoda10,0.5454545454545454,0.7272727272727273,0.8888888888888888
metoda11,0.4444444444444444,0.5714285714285714,0.8
metoda12-catboost,0.8888888888888888,0.4615384615384615,0.6666666666666666
metoda12-rf,0.6,0.6666666666666666,1.0
metoda13,0.8,1.0,0.9090909090909092
metoda14,0.4,0.6666666666666666,0.9090909090909092
metoda15,0.6666666666666666,0.6,0.8
metoda16,0.3636363636363636,0.9090909090909092,1.0
metoda17,0.6153846153846154,,0.8888888888888888
metoda18,0.4444444444444444,0.5454545454545454,0.8888888888888888
metoda19,0.8,0.7272727272727273,1.0
metoda2,0.6666666666666666,0.6,0.8
metoda20,0.6666666666666666,0.6,0.8888888888888888
metoda3,0.6666666666666666,0.6,0.7272727272727273
metoda4,0.6666666666666666,0.6,0.6666666666666666
metoda5,0.8333333333333334,0.6153846153846154,0.9090909090909092
metoda6,0.6666666666666666,0.6,0.8
metoda7,0.8333333333333334,0.5,1.0
metoda8,0.6666666666666666,0.6,0.8
metoda9,1.0,0.8333333333333334,0.8
