Metoda,BERT,RoBERTa,SBERT
metoda1-1,0.5555555555555556,0.2857142857142857,0.8333333333333334
metoda1-2,0.625,0.4444444444444444,0.7142857142857143
metoda1-3,0.5555555555555556,0.5,0.7142857142857143
metoda1-4,0.5555555555555556,0.5,0.6666666666666666
metoda1-5,0.5555555555555556,,0.8
metoda10,0.5,0.6666666666666666,1.0
metoda11,0.5,0.4444444444444444,0.8
metoda12-catboost,1.0,0.375,0.75
metoda12-rf,0.6,0.5714285714285714,1.0
metoda13,0.8,1.0,0.8333333333333334
metoda14,0.4,0.75,0.8333333333333334
metoda15,0.75,0.6,0.8
metoda16,0.3333333333333333,0.8333333333333334,1.0
metoda17,0.5,,1.0
metoda18,0.5,0.5,1.0
metoda19,0.8,0.6666666666666666,1.0
metoda2,0.75,0.6,0.8
metoda20,0.75,0.6,1.0
metoda3,0.75,0.6,0.6666666666666666
metoda4,0.75,0.6,0.5
metoda5,0.7142857142857143,0.5,0.8333333333333334
metoda6,0.75,0.6,0.8
metoda7,0.7142857142857143,0.4285714285714285,1.0
metoda8,0.75,0.6,0.8
metoda9,1.0,0.7142857142857143,0.8
