Metoda,BERT,RoBERTa,SBERT
metoda1-1,0.8,0.28,0.8800000000000001
metoda1-2,0.72,0.28,0.8800000000000001
metoda1-3,0.76,0.28,0.8800000000000001
metoda1-4,0.68,0.32,0.8400000000000001
metoda1-5,0.8,0.28,0.96
metoda10,0.56,0.76,1.0
metoda11,0.48,0.56,0.92
metoda12-catboost,1.0,0.48,0.8
metoda12-rf,0.84,0.8,1.0
metoda13,0.96,1.0,1.0
metoda14,0.4,0.6799999999999999,0.96
metoda15,0.8400000000000001,0.6400000000000001,0.8
metoda16,0.28,1.0,1.0
metoda17,0.52,0.4399999999999999,1.0
metoda18,0.64,0.6799999999999999,1.0
metoda19,0.92,0.6799999999999999,1.0
metoda2,0.8400000000000001,0.6400000000000001,0.8
metoda20,0.8400000000000001,0.6400000000000001,1.0
metoda3,0.8400000000000001,0.6400000000000001,0.88
metoda4,0.8400000000000001,0.6400000000000001,0.5
metoda5,0.84,0.68,1.0
metoda6,0.8400000000000001,0.6400000000000001,0.8
metoda7,0.8400000000000001,0.64,1.0
metoda8,0.8400000000000001,0.6400000000000001,0.8
metoda9,1.0,0.8,0.96
