Metoda,BERT,RoBERTa,SBERT
metoda1-1,1.0,0.4,1.0
metoda1-2,1.0,0.8,1.0
metoda1-3,1.0,1.0,1.0
metoda1-4,1.0,1.0,0.8
metoda1-5,1.0,,0.8
metoda10,0.6,0.8,0.8
metoda11,0.4,0.8,0.8
metoda12-catboost,0.8,0.6,0.6
metoda12-rf,0.6,0.8,1.0
metoda13,0.8,1.0,1.0
metoda14,0.4,0.6,1.0
metoda15,0.6,0.6,0.8
metoda16,0.4,1.0,1.0
metoda17,0.8,,0.8
metoda18,0.4,0.6,0.8
metoda19,0.8,0.8,1.0
metoda2,0.6,0.6,0.8
metoda20,0.6,0.6,0.8
metoda3,0.6,0.6,0.8
metoda4,0.6,0.6,1.0
metoda5,1.0,0.8,1.0
metoda6,0.6,0.6,0.8
metoda7,1.0,0.6,1.0
metoda8,0.6,0.6,0.8
metoda9,1.0,1.0,0.8
