Metoda,BERT,RoBERTa,SBERT
metoda1-1,1.0,0.5,1.0
metoda1-2,1.0,0.5,1.0
metoda1-3,1.0,0.5,1.0
metoda1-4,1.0,0.5,1.0
metoda1-5,1.0,0.5,1.0
metoda10,1.0,0.5,1.0
metoda11,0.5,0.5,1.0
metoda12-catboost,1.0,0.5,1.0
metoda12-rf,1.0,0.5,0.5
metoda13,1.0,0.5,1.0
metoda14,1.0,0.5,1.0
metoda15,1.0,,1.0
metoda16,1.0,0.5,1.0
metoda17,0.5,0.5,1.0
metoda18,1.0,0.5,1.0
metoda19,1.0,0.5,0.5
metoda2,1.0,,1.0
metoda20,1.0,,1.0
metoda3,1.0,0.5,0.5
metoda4,1.0,,0.5
metoda5,1.0,0.5,1.0
metoda6,1.0,,1.0
metoda7,1.0,0.5,0.5
metoda8,1.0,,1.0
metoda9,1.0,0.5,1.0
