Metoda,BERT,RoBERTa,SBERT
metoda1-1,0.4446632893113726,0.7499505277829723,0.2233509063099479
metoda1-2,0.4581853295211332,0.7404871384490462,0.1160226084738719
metoda1-3,0.4376179878159476,0.7818106780090612,0.1089757172155304
metoda1-4,0.4637438545464079,0.7799176997706786,0.3210146489469767
metoda1-5,0.419233563207644,0.7238221226121414,0.0622315784187263
metoda10,0.4765693264371717,0.725106604928555,0.1573151986110062
metoda11,0.5718246430811361,0.7087696216895119,0.4039628354225683
metoda12-catboost,0.6898863499524219,0.6937515966343196,0.6882149257712349
metoda12-rf,0.3644908167845807,0.6693238538262689,0.4695238594983856
metoda13,0.2869734694028354,0.7241961358395116,0.0412541013584935
metoda14,0.3867667398850117,0.6771956777762804,0.1539860936493496
metoda15,0.5631283363517777,,0.6908535603751477
metoda16,0.3868337822353113,0.6770466223367515,0.1541285676773444
metoda17,0.5724257793801444,0.6658675487107266,0.0984386718933319
metoda18,0.2776797106487097,0.7005513290516723,0.0310650492163687
metoda19,0.0481062593800055,0.8624863751694788,0.6648377423056375
metoda2,0.5631283363517777,,0.6908535603751477
metoda20,0.5631283363517777,,0.6908535603751477
metoda3,0.5631283363517777,0.7160134219325602,0.7260823370274232
metoda4,0.5631283363517777,,7.9711926360440195
metoda5,0.0405183304374165,0.6507469932377185,0.0781604009608665
metoda6,0.5631283363517777,,0.6908535603751477
metoda7,0.4092358546825364,0.7449153995572904,0.5682319107280304
metoda8,0.5631283363517777,,0.6908535603751477
metoda9,0.3106316562983702,0.6418407756721656,0.3208970170165616
