Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev),metoda,dataset,method
0.8,1.0,0.6,0.75,0.92,0.6546536707079772,0.6070990777193619,0.6,16.23307180404663,,,run1-1_BuzzFeed_results.csv,BuzzFeed,metoda1-1
0.9,1.0,0.8,0.8888888888888888,1.0,0.816496580927726,0.3002711268155315,0.8,243.2979278564453,,,run1-1_ISOT_results.csv,ISOT,metoda1-1
0.9,0.8333333333333334,1.0,0.9090909090909092,0.8800000000000001,0.816496580927726,0.6321798434828516,0.8,295.218073129654,,,run1-1_WELFake_results.csv,WELFake,metoda1-1
0.7,0.625,1.0,0.7692307692307693,0.92,0.5,0.6648191634118441,0.4,16.28707242012024,,,run1-2_BuzzFeed_results.csv,BuzzFeed,metoda1-2
0.9,1.0,0.8,0.8888888888888888,0.96,0.816496580927726,0.4649708584463206,0.8,243.3579273223877,,,run1-2_ISOT_results.csv,ISOT,metoda1-2
0.8,0.7142857142857143,1.0,0.8333333333333334,0.8800000000000001,0.6546536707079772,0.7744047013024347,0.6,295.2734534740448,,,run1-2_WELFake_results.csv,WELFake,metoda1-2
0.8,0.7142857142857143,1.0,0.8333333333333334,0.96,0.6546536707079772,0.578665881682591,0.6,16.340810298919678,,,run1-3_BuzzFeed_results.csv,BuzzFeed,metoda1-3
0.9,1.0,0.8,0.8888888888888888,1.0,0.816496580927726,0.3863818703714275,0.8,243.4159278869629,,,run1-3_ISOT_results.csv,ISOT,metoda1-3
0.8,0.7142857142857143,1.0,0.8333333333333334,0.8800000000000001,0.6546536707079772,0.7305440405044542,0.6,295.3274190425873,,,run1-3_WELFake_results.csv,WELFake,metoda1-3
0.5,0.5,1.0,0.6666666666666666,0.8400000000000001,0.0,0.6873378273210069,0.0,16.395817518234253,,,run1-4_BuzzFeed_results.csv,BuzzFeed,metoda1-4
0.9,1.0,0.8,0.8888888888888888,1.0,0.816496580927726,0.4520079298290155,0.8,243.47292709350583,,,run1-4_ISOT_results.csv,ISOT,metoda1-4
0.7,0.6666666666666666,0.8,0.7272727272727273,0.8400000000000001,0.408248290463863,0.6487532285961244,0.4,295.38234782218933,,,run1-4_WELFake_results.csv,WELFake,metoda1-4
0.8,1.0,0.6,0.75,0.92,0.6546536707079772,0.5603493336897504,0.6,16.44939613342285,,,run1-5_BuzzFeed_results.csv,BuzzFeed,metoda1-5
0.9,1.0,0.8,0.8888888888888888,1.0,0.816496580927726,0.2956716646871918,0.8,243.5309317111969,,,run1-5_ISOT_results.csv,ISOT,metoda1-5
