,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.21111657587508076,0.085184818215038,0.16757665127594173,0.5510939280278182,0.9346401302574462,-0.2964363509156668,0.9879589413730242,-0.13023868225738533,-0.3294116036206407,-0.2802182132744653
Precision,0.21111657587508076,1.0,0.7374121304861451,0.9265828409406985,0.44007652821538124,0.4238467224267141,0.12960715603145165,0.32045707041783483,-0.530601269650969,-0.1776911583666226,-0.2569988153496228
Recall,0.085184818215038,0.7374121304861451,1.0,0.927884570964373,-0.09277197683282486,0.253649386609107,-0.036034425102865364,0.2382600200474492,0.018562600149246523,0.4164236894862029,-0.06519954111186778
F1-Score,0.16757665127594173,0.9265828409406985,0.927884570964373,1.0,0.21468976780452054,0.3734415938995987,0.08487864066908689,0.3076084306948285,-0.31528091149270204,0.2983761111540887,-0.14858262079759574
ROC-AUC,0.5510939280278182,0.44007652821538124,-0.09277197683282486,0.21468976780452054,1.0,0.5500947421500304,0.06211085921457644,0.5239191082862904,-0.5990430012315081,-0.47297747619776803,-0.2891011306371476
MCC,0.9346401302574462,0.4238467224267141,0.253649386609107,0.3734415938995987,0.5500947421500304,1.0,-0.19664456798596175,0.9504061217295411,-0.27528390007307885,-0.28730597177693334,-0.2783959730984316
Log Loss,-0.2964363509156668,0.12960715603145165,-0.036034425102865364,0.08487864066908689,0.06211085921457644,-0.19664456798596175,1.0,-0.2939128597764426,-0.5102694669133363,0.6504334015256823,0.34783892469723776
Cohen's Kappa,0.9879589413730242,0.32045707041783483,0.2382600200474492,0.3076084306948285,0.5239191082862904,0.9504061217295411,-0.2939128597764426,1.0,-0.1248108795156543,-0.2895295635413344,-0.27503553866201674
Execution Time (s),-0.13023868225738533,-0.530601269650969,0.018562600149246523,-0.31528091149270204,-0.5990430012315081,-0.27528390007307885,-0.5102694669133363,-0.1248108795156543,1.0,-0.6152296357456392,0.11208973935687723
CV Accuracy (Mean),-0.3294116036206407,-0.1776911583666226,0.4164236894862029,0.2983761111540887,-0.47297747619776803,-0.28730597177693334,0.6504334015256823,-0.2895295635413344,-0.6152296357456392,1.0,0.40865195693052364
CV Accuracy (Std Dev),-0.2802182132744653,-0.2569988153496228,-0.06519954111186778,-0.14858262079759574,-0.2891011306371476,-0.2783959730984316,0.34783892469723776,-0.27503553866201674,0.11208973935687723,0.40865195693052364,1.0
