,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.6632236710108884,0.27328389722611757,0.3707543465929568,0.5057718498324202,0.8567018930039766,0.019328520332314858,0.8861977957949665,-0.10367115450968879,-0.2583441349109688,-0.15828126575531187
Precision,0.6632236710108884,1.0,0.8050393725812556,0.863672182821119,0.38425373946519875,0.8505229928095388,0.15545071833786991,0.8493397936542275,-0.24360504974972524,-0.04610321109070922,-0.1663008685772011
Recall,0.27328389722611757,0.8050393725812556,1.0,0.9749210673911035,-0.008832239280080293,0.5835691194936476,-0.005589499814300051,0.6119773522561084,0.0822454972675579,0.23005970946767815,-0.08391756151798682
F1-Score,0.3707543465929568,0.863672182821119,0.9749210673911035,1.0,0.08706057948748067,0.650956735280382,-0.03581269713606623,0.6781703158525397,0.031090143667573983,0.05708016611230666,-0.2442372492305429
ROC-AUC,0.5057718498324202,0.38425373946519875,-0.008832239280080293,0.08706057948748067,1.0,0.30659710332530055,0.32767300101547064,0.2820376454361938,-0.45257609911063196,-0.48918393786349623,-0.3075507217547266
MCC,0.8567018930039766,0.8505229928095388,0.5835691194936476,0.650956735280382,0.30659710332530055,1.0,0.016939177044653322,0.9881563363600474,-0.09848358746891467,-0.04939629759718845,-0.17727782359879857
Log Loss,0.019328520332314858,0.15545071833786991,-0.005589499814300051,-0.03581269713606623,0.32767300101547064,0.016939177044653322,1.0,-0.0003939343498756587,-0.5204402515723271,0.582557014821085,0.4476144294670484
Cohen's Kappa,0.8861977957949665,0.8493397936542275,0.6119773522561084,0.6781703158525397,0.2820376454361938,0.9881563363600474,-0.0003939343498756587,1.0,-0.04254490978657114,-0.04939629759718845,-0.17727782359879857
Execution Time (s),-0.10367115450968879,-0.24360504974972524,0.0822454972675579,0.031090143667573983,-0.45257609911063196,-0.09848358746891467,-0.5204402515723271,-0.04254490978657114,1.0,-0.43225511080886536,0.24355491015118808
CV Accuracy (Mean),-0.2583441349109688,-0.04610321109070922,0.23005970946767815,0.05708016611230666,-0.48918393786349623,-0.04939629759718845,0.582557014821085,-0.04939629759718845,-0.43225511080886536,1.0,0.45604395604395603
CV Accuracy (Std Dev),-0.15828126575531187,-0.1663008685772011,-0.08391756151798682,-0.2442372492305429,-0.3075507217547266,-0.17727782359879857,0.4476144294670484,-0.17727782359879857,0.24355491015118808,0.45604395604395603,1.0
