method,run,AUC-PR
run1-1,run1-1_ISOT_pr_curve.csv,0.6217576657789333
run1-2,run1-2_ISOT_pr_curve.csv,0.6250425261716208
run1-3,run1-3_ISOT_pr_curve.csv,0.6255385010181403
run1-4,run1-4_ISOT_pr_curve.csv,0.6216747611309419
run1-5,run1-5_ISOT_pr_curve.csv,0.6216229858643497
run10,run10_ISOT_pr_curve.csv,0.6299608102550471
run11,run11_ISOT_pr_curve.csv,0.6495969424705635
run12-catboost,run12-catboost_ISOT_pr_curve.csv,0.623716898388374
run12-rf,run12-rf_ISOT_pr_curve.csv,0.6784769622280598
run13,run13_ISOT_pr_curve.csv,0.6526667351509927
run14,run14_ISOT_pr_curve.csv,0.6874568664490494
run15,run15_ISOT_pr_curve.csv,0.5852901031137109
run16,run16_ISOT_pr_curve.csv,0.6875136078370849
run17,run17_ISOT_pr_curve.csv,0.6155848970340368
run18,run18_ISOT_pr_curve.csv,0.6287845964143561
run19,run19_ISOT_pr_curve.csv,0.6913346312986811
run20,run20_ISOT_pr_curve.csv,0.5852901031137109
run2,run2_ISOT_pr_curve.csv,0.5852901031137109
run3,run3_ISOT_pr_curve.csv,0.5852901031137109
run4,run4_ISOT_pr_curve.csv,0.5852901031137109
run5,run5_ISOT_pr_curve.csv,0.6703290905534236
run6,run6_ISOT_pr_curve.csv,0.5852901031137109
run7,run7_ISOT_pr_curve.csv,0.636910953810925
run8,run8_ISOT_pr_curve.csv,0.5852901031137109
run9,run9_ISOT_pr_curve.csv,0.6401891775113349
