,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.9685534591194969,0.46746609906568315,0.8341194968553459,0.9614779874213837,0.9669811320754716,-0.4827044025157233,0.9897798742138365,-0.36477987421383645,0.6254107338444688,0.3778751369112815
Precision,0.9685534591194969,1.0,0.3518773411806446,0.7838050314465409,0.940251572327044,0.9190251572327044,-0.4882075471698113,0.9418238993710691,-0.30345911949685533,0.592552026286966,0.36254107338444685
Recall,0.46746609906568315,0.3518773411806446,1.0,0.8378219151463169,0.5075683211890639,0.6231570790741024,-0.17810104531266147,0.550815815635847,-0.3624926352721277,0.6400000960780851,0.41315074695451726
F1-Score,0.8341194968553459,0.7838050314465409,0.8378219151463169,1.0,0.8608490566037735,0.9182389937106918,-0.4229559748427673,0.8757861635220126,-0.324685534591195,0.6933187294633077,0.4129244249726177
ROC-AUC,0.9614779874213837,0.940251572327044,0.5075683211890639,0.8608490566037735,1.0,0.9551886792452831,-0.4937106918238994,0.964622641509434,-0.3050314465408805,0.6429353778751369,0.36911281489594744
MCC,0.9669811320754716,0.9190251572327044,0.6231570790741024,0.9182389937106918,0.9551886792452831,1.0,-0.46147798742138363,0.9874213836477987,-0.375,0.6254107338444688,0.3778751369112815
Log Loss,-0.4827044025157233,-0.4882075471698113,-0.17810104531266147,-0.4229559748427673,-0.4937106918238994,-0.46147798742138363,1.0,-0.47641509433962265,-0.03459119496855346,-0.10843373493975904,-0.4063526834611172
Cohen's Kappa,0.9897798742138365,0.9418238993710691,0.550815815635847,0.8757861635220126,0.964622641509434,0.9874213836477987,-0.47641509433962265,1.0,-0.3608490566037736,0.6254107338444688,0.3778751369112815
Execution Time (s),-0.36477987421383645,-0.30345911949685533,-0.3624926352721277,-0.324685534591195,-0.3050314465408805,-0.375,-0.03459119496855346,-0.3608490566037736,1.0,-0.3537787513691128,-0.5553121577217963
CV Accuracy (Mean),0.6254107338444688,0.592552026286966,0.6400000960780851,0.6933187294633077,0.6429353778751369,0.6254107338444688,-0.10843373493975904,0.6254107338444688,-0.3537787513691128,1.0,0.37568455640744797
CV Accuracy (Std Dev),0.3778751369112815,0.36254107338444685,0.41315074695451726,0.4129244249726177,0.36911281489594744,0.3778751369112815,-0.4063526834611172,0.3778751369112815,-0.5553121577217963,0.37568455640744797,1.0
