,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.497388367260418,0.5762094869046788,0.8170346217633047,0.9866052759489333,0.9397383892895899,0.39829800284955197,0.9622369387859677,0.40487738933096185,0.6545758096979994,0.02946975678878142
Precision,0.497388367260418,1.0,-0.4178188000175614,-0.09160550307053517,0.43187556171633074,0.7630204327172683,0.09883842053755768,0.7125183154681273,0.2212303955288281,0.31815434525080116,0.15846875629901125
Recall,0.5762094869046788,-0.4178188000175614,1.0,0.9408464285458646,0.6281336779842415,0.2638936857098874,0.32325445710836676,0.33210990368478854,0.21670042290550184,0.5119964155785504,-0.0631019303780957
F1-Score,0.8170346217633047,-0.09160550307053517,0.9408464285458646,1.0,0.8458090617154328,0.5709051202630883,0.3827807548902298,0.6295886354316121,0.31903690004551555,0.5844192182412591,-0.012085412203813787
ROC-AUC,0.9866052759489333,0.43187556171633074,0.6281336779842415,0.8458090617154328,1.0,0.9045717678252043,0.445356557880543,0.929585863199364,0.33364368182604875,0.6896181136578116,-0.03974933531571365
MCC,0.9397383892895899,0.7630204327172683,0.2638936857098874,0.5709051202630883,0.9045717678252043,1.0,0.3420847707875519,0.9966873935240724,0.3867464503382549,0.6505939614505454,0.05247575942346317
Log Loss,0.39829800284955197,0.09883842053755768,0.32325445710836676,0.3827807548902298,0.445356557880543,0.3420847707875519,1.0,0.35402332649824897,-0.27282585765846273,0.7314620367393398,-0.4209486631178584
Cohen's Kappa,0.9622369387859677,0.7125183154681273,0.33210990368478854,0.6295886354316121,0.929585863199364,0.9966873935240724,0.35402332649824897,1.0,0.3945921614121986,0.6530841978627338,0.05438951315777546
Execution Time (s),0.40487738933096185,0.2212303955288281,0.21670042290550184,0.31903690004551555,0.33364368182604875,0.3867464503382549,-0.27282585765846273,0.3945921614121986,1.0,0.023342297253648437,0.054367701230478294
CV Accuracy (Mean),0.6545758096979994,0.31815434525080116,0.5119964155785504,0.5844192182412591,0.6896181136578116,0.6505939614505454,0.7314620367393398,0.6530841978627338,0.023342297253648437,1.0,-0.48739732939603125
CV Accuracy (Std Dev),0.02946975678878142,0.15846875629901125,-0.0631019303780957,-0.012085412203813787,-0.03974933531571365,0.05247575942346317,-0.4209486631178584,0.05438951315777546,0.054367701230478294,-0.48739732939603125,1.0
