metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.639847851842614,0.030537478394049574,0.000106973368290582,False
Precision,Shapiro-Wilk,0.7052612495732015,0.032611137411871174,0.0013549616459446246,False
Recall,Shapiro-Wilk,0.637891506849315,0.08310122895650485,0.006121583157526491,False
F1-Score,Shapiro-Wilk,0.6659853882397658,0.042473864309971014,0.006723313503676998,False
ROC-AUC,Shapiro-Wilk,0.7043847669330289,0.03909809873467501,0.0003182798962542678,False
MCC,Shapiro-Wilk,0.28113659350631226,0.05902276339711715,0.01232515110770921,False
Log Loss,Shapiro-Wilk,0.667421595228473,0.16632469796195734,7.3395561425311115e-09,False
Cohen's Kappa,Shapiro-Wilk,0.27631809794962864,0.05985850087096511,0.0023468389956232327,False
Execution Time (s),Shapiro-Wilk,223.02785736083985,301.4099958010494,2.937532169283849e-06,False
CV Accuracy (Mean),Shapiro-Wilk,0.6349964679646205,0.028457654273147604,3.240165172010172e-05,False
CV Accuracy (Std Dev),Shapiro-Wilk,0.005848243352332895,0.0012866196326155434,0.06342668650142722,True
