method,run,AUC-PR
run1-1,run1-1_BuzzFeed_pr_curve.csv,0.3612698412698413
run1-2,run1-2_BuzzFeed_pr_curve.csv,0.5168253968253969
run1-3,run1-3_BuzzFeed_pr_curve.csv,0.5949206349206348
run1-4,run1-4_BuzzFeed_pr_curve.csv,0.8211111111111111
run1-5,run1-5_BuzzFeed_pr_curve.csv,0.3646031746031746
run10,run10_BuzzFeed_pr_curve.csv,0.5359126984126984
run11,run11_BuzzFeed_pr_curve.csv,0.36924603174603177
run12-catboost,run12-catboost_BuzzFeed_pr_curve.csv,0.35
run12-rf,run12-rf_BuzzFeed_pr_curve.csv,0.4876984126984127
run13,run13_BuzzFeed_pr_curve.csv,0.4639682539682539
run14,run14_BuzzFeed_pr_curve.csv,0.723095238095238
run15,run15_BuzzFeed_pr_curve.csv,0.33246031746031746
run16,run16_BuzzFeed_pr_curve.csv,0.33246031746031746
run17,run17_BuzzFeed_pr_curve.csv,0.3509126984126984
run18,run18_BuzzFeed_pr_curve.csv,0.4317857142857143
run19,run19_BuzzFeed_pr_curve.csv,0.3815873015873016
run20,run20_BuzzFeed_pr_curve.csv,0.33246031746031746
run2,run2_BuzzFeed_pr_curve.csv,0.33246031746031746
run3,run3_BuzzFeed_pr_curve.csv,0.33246031746031746
run4,run4_BuzzFeed_pr_curve.csv,0.33246031746031746
run5,run5_BuzzFeed_pr_curve.csv,0.4393650793650794
run6,run6_BuzzFeed_pr_curve.csv,0.33246031746031746
run7,run7_BuzzFeed_pr_curve.csv,0.5279365079365079
run8,run8_BuzzFeed_pr_curve.csv,0.33246031746031746
run9,run9_BuzzFeed_pr_curve.csv,0.39682539682539675
