,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.5626752613863792,0.4134524495509758,0.4959723554106305,0.5905445925234242,0.9971260062750977,-0.08483866798426999,1.0000000000000004,0.041937826716435096,-0.14598326188230332,0.23363435282781406
Precision,0.5626752613863792,1.0,0.6853271204395724,0.8781488532650477,0.46864023949022493,0.5881766110796881,0.1235441890370654,0.5626752613863794,-0.3143739887833789,-0.10606110389966378,0.24962713700082226
Recall,0.4134524495509758,0.6853271204395724,1.0,0.9379441271692837,0.5016902177589071,0.4281994958943848,-0.04339334700426723,0.41345244955097593,0.23220769290770826,-0.04807506354957312,0.3445500848862172
F1-Score,0.4959723554106305,0.8781488532650477,0.9379441271692837,1.0,0.48609649294978746,0.5182786771445951,0.04872695041239421,0.4959723554106305,-0.042006234559451155,-0.13874704908675864,0.27484457214816993
ROC-AUC,0.5905445925234242,0.46864023949022493,0.5016902177589071,0.48609649294978746,1.0,0.5757717570366943,0.05775772739747602,0.5905445925234242,0.2901170390816532,0.014067429272064887,0.13683747021644685
MCC,0.9971260062750977,0.5881766110796881,0.4281994958943848,0.5182786771445951,0.5757717570366943,1.0,-0.0723940601293478,0.9971260062750981,0.007127992943452981,-0.14558996697199608,0.23790936366100823
Log Loss,-0.08483866798426999,0.1235441890370654,-0.04339334700426723,0.04872695041239421,0.05775772739747602,-0.0723940601293478,1.0,-0.0848386679842702,-0.31774275672104574,-0.26556851963149275,-0.11206680784353878
Cohen's Kappa,1.0000000000000004,0.5626752613863794,0.41345244955097593,0.4959723554106305,0.5905445925234242,0.9971260062750981,-0.0848386679842702,1.0,0.041937826716435374,-0.14598326188230362,0.23363435282781397
Execution Time (s),0.041937826716435096,-0.3143739887833789,0.23220769290770826,-0.042006234559451155,0.2901170390816532,0.007127992943452981,-0.31774275672104574,0.041937826716435374,1.0,-0.14925868998658076,-0.07781266349559426
CV Accuracy (Mean),-0.14598326188230332,-0.10606110389966378,-0.04807506354957312,-0.13874704908675864,0.014067429272064887,-0.14558996697199608,-0.26556851963149275,-0.14598326188230362,-0.14925868998658076,1.0,0.4290217219864159
CV Accuracy (Std Dev),0.23363435282781406,0.24962713700082226,0.3445500848862172,0.27484457214816993,0.13683747021644685,0.23790936366100823,-0.11206680784353878,0.23363435282781397,-0.07781266349559426,0.4290217219864159,1.0
