,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.8983066767053255,0.7748709829391249,0.9189858125953198,0.8884411172799783,0.9293798785413152,-0.4682503845735958,1.0,-0.46137698443306596,0.42314249558128286,0.16108060149580808
Precision,0.8983066767053255,1.0,0.43167597756251525,0.6608670214049028,0.8487778741503659,0.9342378225876755,-0.3311936962666402,0.8983066767053255,-0.4627088686340227,0.4176666773471345,0.209739983371135
Recall,0.7748709829391249,0.43167597756251525,1.0,0.9330886486042059,0.6403142113044737,0.6148840278500428,-0.5313563785178149,0.7748709829391249,-0.2607429906968225,0.49037736133529086,-0.13336806912481317
F1-Score,0.9189858125953198,0.6608670214049028,0.9330886486042059,1.0,0.7666697330388365,0.766778463191805,-0.4453184045643673,0.9189858125953198,-0.38840997574157504,0.4296547438782614,0.11320165544201559
ROC-AUC,0.8884411172799783,0.8487778741503659,0.6403142113044737,0.7666697330388365,1.0,0.9079854819725376,-0.33962404397950596,0.8884411172799783,-0.4900802890797102,0.2504784927022259,0.18928420532963283
MCC,0.9293798785413152,0.9342378225876755,0.6148840278500428,0.766778463191805,0.9079854819725376,1.0,-0.3649144878764462,0.9293798785413152,-0.5126369829686618,0.42314249558128286,0.16108060149580808
Log Loss,-0.4682503845735958,-0.3311936962666402,-0.5313563785178149,-0.4453184045643673,-0.33962404397950596,-0.3649144878764462,1.0,-0.4682503845735958,-0.08962264150943396,-0.30905673180759435,0.04631646058856554
Cohen's Kappa,1.0,0.8983066767053255,0.7748709829391249,0.9189858125953198,0.8884411172799783,0.9293798785413152,-0.4682503845735958,1.0,-0.46137698443306596,0.42314249558128286,0.16108060149580808
Execution Time (s),-0.46137698443306596,-0.4627088686340227,-0.2607429906968225,-0.38840997574157504,-0.4900802890797102,-0.5126369829686618,-0.08962264150943396,-0.46137698443306596,1.0,-0.03781013208284399,0.14785639341734386
CV Accuracy (Mean),0.42314249558128286,0.4176666773471345,0.49037736133529086,0.4296547438782614,0.2504784927022259,0.42314249558128286,-0.30905673180759435,0.42314249558128286,-0.03781013208284399,1.0,-0.08497279763431596
CV Accuracy (Std Dev),0.16108060149580808,0.209739983371135,-0.13336806912481317,0.11320165544201559,0.18928420532963283,0.16108060149580808,0.04631646058856554,0.16108060149580808,0.14785639341734386,-0.08497279763431596,1.0
