,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.9560919987326768,0.5297645919122153,0.9260653798529475,0.917852615621656,0.9869827367759599,-0.2418666777337354,0.9999999999999998,-0.4058963967060139,0.45837125966731107,0.17022794778765213
Precision,0.9560919987326768,1.0,0.31282677218045496,0.8157684097579269,0.8978345253960424,0.9131535975178673,-0.3439949357595452,0.9560919987326769,-0.30643024461185914,0.4149537942353625,0.029861716567195964
Recall,0.5297645919122153,0.31282677218045496,1.0,0.8000884161030885,0.484111511727717,0.6407211334390388,0.133224671170722,0.5297645919122151,-0.4046318979693448,0.42470599286468774,0.24834718196453362
F1-Score,0.9260653798529475,0.8157684097579269,0.8000884161030885,1.0,0.8477271696160125,0.960935375135547,-0.1309714520748082,0.9260653798529478,-0.4310929599361135,0.47158512393414087,0.17240848584354887
ROC-AUC,0.917852615621656,0.8978345253960424,0.484111511727717,0.8477271696160125,1.0,0.9204024627499583,-0.3417379677945364,0.9178526156216562,-0.4833669971478538,0.4783979100769905,0.07337134756990629
MCC,0.9869827367759599,0.9131535975178673,0.6407211334390388,0.960935375135547,0.9204024627499583,1.0,-0.19437355655189326,0.9869827367759602,-0.4331142943869098,0.452025166642136,0.16981945701230147
Log Loss,-0.2418666777337354,-0.3439949357595452,0.133224671170722,-0.1309714520748082,-0.3417379677945364,-0.19437355655189326,1.0,-0.24186667773373544,0.12484187394331,-0.08937816663975251,0.19946474269367098
Cohen's Kappa,0.9999999999999998,0.9560919987326769,0.5297645919122151,0.9260653798529478,0.9178526156216562,0.9869827367759602,-0.24186667773373544,1.0,-0.40589639670601396,0.4583712596673111,0.17022794778765205
Execution Time (s),-0.4058963967060139,-0.30643024461185914,-0.4046318979693448,-0.4310929599361135,-0.4833669971478538,-0.4331142943869098,0.12484187394331,-0.40589639670601396,1.0,-0.04808202375591428,-0.3349887932510401
CV Accuracy (Mean),0.45837125966731107,0.4149537942353625,0.42470599286468774,0.47158512393414087,0.4783979100769905,0.452025166642136,-0.08937816663975251,0.4583712596673111,-0.04808202375591428,1.0,0.4722231659277986
CV Accuracy (Std Dev),0.17022794778765213,0.029861716567195964,0.24834718196453362,0.17240848584354887,0.07337134756990629,0.16981945701230147,0.19946474269367098,0.17022794778765205,-0.3349887932510401,0.4722231659277986,1.0
