method,metric,p_value,normal_distribution
metoda1-1,Cohen's Kappa,,
metoda1-2,Cohen's Kappa,,
metoda1-3,Cohen's Kappa,,
metoda1-4,Cohen's Kappa,,
metoda1-5,Cohen's Kappa,,
metoda10,Cohen's Kappa,,
metoda11,Cohen's Kappa,,
metoda12-catboost,Cohen's Kappa,,
metoda12-rf,Cohen's Kappa,,
metoda13,Cohen's Kappa,,
metoda14,Cohen's Kappa,,
metoda15,Cohen's Kappa,,
metoda16,Cohen's Kappa,,
metoda17,Cohen's Kappa,,
metoda18,Cohen's Kappa,,
metoda19,Cohen's Kappa,,
metoda2,Cohen's Kappa,,
metoda20,Cohen's Kappa,,
metoda3,Cohen's Kappa,,
metoda4,Cohen's Kappa,,
metoda5,Cohen's Kappa,,
metoda6,Cohen's Kappa,,
metoda7,Cohen's Kappa,,
metoda8,Cohen's Kappa,,
metoda9,Cohen's Kappa,,
