,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,1.0,1.0,0.9999999999999998,,0.9999999999999997,-0.07137803824418842,0.9999999999999997,0.09295532078234332,,
Precision,1.0,1.0,1.0,0.9999999999999998,,0.9999999999999997,-0.07137803824418842,0.9999999999999997,0.09295532078234332,,
Recall,1.0,1.0,1.0,0.9999999999999998,,0.9999999999999997,-0.07137803824418842,0.9999999999999997,0.09295532078234332,,
F1-Score,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,,1.0,-0.07137803824418842,1.0,0.09295532078234325,,
ROC-AUC,,,,,,,,,,,
MCC,0.9999999999999997,0.9999999999999997,0.9999999999999997,1.0,,1.0,-0.07137803824418841,1.0,0.09295532078234325,,
Log Loss,-0.07137803824418842,-0.07137803824418842,-0.07137803824418842,-0.07137803824418842,,-0.07137803824418841,1.0,-0.07137803824418842,-0.19490583240023596,,
Cohen's Kappa,0.9999999999999997,0.9999999999999997,0.9999999999999997,1.0,,1.0,-0.07137803824418842,1.0,0.09295532078234325,,
Execution Time (s),0.09295532078234332,0.09295532078234332,0.09295532078234332,0.09295532078234325,,0.09295532078234325,-0.19490583240023596,0.09295532078234325,1.0,,
CV Accuracy (Mean),,,,,,,,,,,
CV Accuracy (Std Dev),,,,,,,,,,,
