method,metoda,AUC-PR
metoda1-1,run1-1_BuzzFeed_pr_curve.csv,0.7562291973511769
metoda1-2,run1-2_BuzzFeed_pr_curve.csv,0.7690233443840991
metoda1-3,run1-3_BuzzFeed_pr_curve.csv,0.7325900366531095
metoda1-4,run1-4_BuzzFeed_pr_curve.csv,0.7799660933671426
metoda1-5,run1-5_BuzzFeed_pr_curve.csv,0.7867485649467174
metoda10,run10_BuzzFeed_pr_curve.csv,0.758365390693319
metoda11,run11_BuzzFeed_pr_curve.csv,0.5713671148152811
metoda12-catboost,run12-catboost_BuzzFeed_pr_curve.csv,0.7202198474629599
metoda12-rf,run12-rf_BuzzFeed_pr_curve.csv,0.4679318675106488
metoda13,run13_BuzzFeed_pr_curve.csv,0.540610279003582
metoda14,run14_BuzzFeed_pr_curve.csv,0.4703297879502166
metoda15,run15_BuzzFeed_pr_curve.csv,0.6412144466663582
metoda16,run16_BuzzFeed_pr_curve.csv,0.4721110377317136
metoda17,run17_BuzzFeed_pr_curve.csv,0.7563013789170479
metoda18,run18_BuzzFeed_pr_curve.csv,0.5734725516474165
metoda19,run19_BuzzFeed_pr_curve.csv,0.5216465075630838
metoda20,run20_BuzzFeed_pr_curve.csv,0.6412144466663582
metoda2,run2_BuzzFeed_pr_curve.csv,0.6412144466663582
metoda3,run3_BuzzFeed_pr_curve.csv,0.6412144466663582
metoda4,run4_BuzzFeed_pr_curve.csv,0.6412144466663582
metoda5,run5_BuzzFeed_pr_curve.csv,0.47037580429582254
metoda6,run6_BuzzFeed_pr_curve.csv,0.6412144466663582
metoda7,run7_BuzzFeed_pr_curve.csv,0.5282165658698484
metoda8,run8_BuzzFeed_pr_curve.csv,0.6412144466663582
metoda9,run9_BuzzFeed_pr_curve.csv,0.5236173457774973
