,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.4922247152176107,-0.045744918628278966,0.25645107399037653,0.04768105536909353,0.9908467567602645,-0.2503562677465609,0.991038566346088,-0.3297988245968992,0.21802511058430937,-0.12063189063501333
Precision,0.4922247152176107,1.0,0.6065258513682116,0.912760316187194,-0.3832085227636097,0.5705622313542799,0.06645447191023739,0.5718015590013439,-0.6786007395471326,0.23693381429132088,-0.11725591202021314
Recall,-0.045744918628278966,0.6065258513682116,1.0,0.8759247884597767,0.20714596617313077,0.08754997794393958,-0.12150395474646594,0.08808531310777132,-0.010707105181065582,0.23736785617991543,0.18171100005508253
F1-Score,0.25645107399037653,0.912760316187194,0.8759247884597767,1.0,-0.14827265016562025,0.3710039516429201,-0.027333555368938126,0.37269373757401925,-0.42695917133514194,0.2443314464073424,0.055117946557112794
ROC-AUC,0.04768105536909353,-0.3832085227636097,0.20714596617313077,-0.14827265016562025,1.0,0.08284162158352218,-0.4708681602310183,0.07600455188233651,0.7008132251422589,0.5357420249678233,0.047084886938697286
MCC,0.9908467567602645,0.5705622313542799,0.08754997794393958,0.3710039516429201,0.08284162158352218,1.0,-0.2645283931418871,0.9997801610740374,-0.32828222062233203,0.22301924429774836,-0.11360440494857993
Log Loss,-0.2503562677465609,0.06645447191023739,-0.12150395474646594,-0.027333555368938126,-0.4708681602310183,-0.2645283931418871,1.0,-0.2657749174539732,-0.35014574966374223,-0.3498671591390957,-0.44786369496600775
Cohen's Kappa,0.991038566346088,0.5718015590013439,0.08808531310777132,0.37269373757401925,0.07600455188233651,0.9997801610740374,-0.2657749174539732,1.0,-0.3300732787623154,0.22013852000665862,-0.11284715751570011
Execution Time (s),-0.3297988245968992,-0.6786007395471326,-0.010707105181065582,-0.42695917133514194,0.7008132251422589,-0.32828222062233203,-0.35014574966374223,-0.3300732787623154,1.0,-0.3031660003563522,0.07256711911039881
CV Accuracy (Mean),0.21802511058430937,0.23693381429132088,0.23736785617991543,0.2443314464073424,0.5357420249678233,0.22301924429774836,-0.3498671591390957,0.22013852000665862,-0.3031660003563522,1.0,0.65280998177559
CV Accuracy (Std Dev),-0.12063189063501333,-0.11725591202021314,0.18171100005508253,0.055117946557112794,0.047084886938697286,-0.11360440494857993,-0.44786369496600775,-0.11284715751570011,0.07256711911039881,0.65280998177559,1.0
