method,metric,p_value,normal_distribution
metoda1-1,F1-Score,,
metoda1-2,F1-Score,,
metoda1-3,F1-Score,,
metoda1-4,F1-Score,,
metoda1-5,F1-Score,,
metoda10,F1-Score,,
metoda11,F1-Score,,
metoda12-catboost,F1-Score,,
metoda12-rf,F1-Score,,
metoda13,F1-Score,,
metoda14,F1-Score,,
metoda15,F1-Score,,
metoda16,F1-Score,,
metoda17,F1-Score,,
metoda18,F1-Score,,
metoda19,F1-Score,,
metoda2,F1-Score,,
metoda20,F1-Score,,
metoda3,F1-Score,,
metoda4,F1-Score,,
metoda5,F1-Score,,
metoda6,F1-Score,,
metoda7,F1-Score,,
metoda8,F1-Score,,
metoda9,F1-Score,,
