method,metoda,AUC-PR
metoda1-1,run1-1_ISOT_pr_curve.csv,0.7982144198368625
metoda1-2,run1-2_ISOT_pr_curve.csv,0.8017749829901871
metoda1-3,run1-3_ISOT_pr_curve.csv,0.7983164831292875
metoda1-4,run1-4_ISOT_pr_curve.csv,0.7955130704339863
metoda1-5,run1-5_ISOT_pr_curve.csv,0.8013106554560777
metoda10,run10_ISOT_pr_curve.csv,0.8032158872398144
metoda11,run11_ISOT_pr_curve.csv,0.815113045423429
metoda12-catboost,run12-catboost_ISOT_pr_curve.csv,0.7891183119218568
metoda12-rf,run12-rf_ISOT_pr_curve.csv,0.8160305222790442
metoda13,run13_ISOT_pr_curve.csv,0.8080249892732511
metoda14,run14_ISOT_pr_curve.csv,0.827720670484797
metoda15,run15_ISOT_pr_curve.csv,0.8029151295471912
metoda16,run16_ISOT_pr_curve.csv,0.8276521454079774
metoda17,run17_ISOT_pr_curve.csv,0.7927555142877292
metoda18,run18_ISOT_pr_curve.csv,0.8009741497650527
metoda19,run19_ISOT_pr_curve.csv,0.8251675018270285
metoda20,run20_ISOT_pr_curve.csv,0.8029151295471912
metoda2,run2_ISOT_pr_curve.csv,0.8029151295471912
metoda3,run3_ISOT_pr_curve.csv,0.8029151295471912
metoda4,run4_ISOT_pr_curve.csv,0.8029151295471912
metoda5,run5_ISOT_pr_curve.csv,0.7947792489126655
metoda6,run6_ISOT_pr_curve.csv,0.8029151295471912
metoda7,run7_ISOT_pr_curve.csv,0.8139821911397902
metoda8,run8_ISOT_pr_curve.csv,0.8029151295471912
metoda9,run9_ISOT_pr_curve.csv,0.8090499691364235
