,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.6990964741624682,-0.36795653135539713,0.3905797970007657,0.6156939015390619,0.9465802534953692,-0.046421759282510244,0.9934868316807774,0.20110997904222228,0.35683979691711576,-0.3888694144183206
Precision,0.6990964741624682,1.0,-0.9068594282291129,-0.3695892551647055,0.3962860441161556,0.5215744010071048,0.049808469365115786,0.6163425219981036,0.14595953408583826,0.2359391459514804,-0.34450551316606187
Recall,-0.36795653135539713,-0.9068594282291129,1.0,0.7091394556947054,-0.04445439386778885,-0.11962482618226677,-0.03843477043553303,-0.26004122580495287,-0.02190192980937005,0.30394064470410476,-0.2571544175270663
F1-Score,0.3905797970007657,-0.3695892551647055,0.7091394556947054,1.0,0.4027763488978459,0.5914458614084532,-0.07006019556941973,0.4926131012035146,0.11268280810131055,0.3543098933378211,-0.35734094511167164
ROC-AUC,0.6156939015390619,0.3962860441161556,-0.04445439386778885,0.4027763488978459,1.0,0.7733897643892944,0.25301194210661215,0.6378433961058148,0.2820343974673443,0.3951878017664135,-0.4236688019574602
MCC,0.9465802534953692,0.5215744010071048,-0.11962482618226677,0.5914458614084532,0.7733897643892944,1.0,-0.005110143972593826,0.9696739246331662,0.26791699400532853,0.3545105659339503,-0.38630703699879804
Log Loss,-0.046421759282510244,0.049808469365115786,-0.03843477043553303,-0.07006019556941973,0.25301194210661215,-0.005110143972593826,1.0,-0.0504038337421744,-0.39164897868127885,0.4362130305574096,0.254406478042775
Cohen's Kappa,0.9934868316807774,0.6163425219981036,-0.26004122580495287,0.4926131012035146,0.6378433961058148,0.9696739246331662,-0.0504038337421744,1.0,0.20688739008161916,0.35795129925036817,-0.38664526800411736
Execution Time (s),0.20110997904222228,0.14595953408583826,-0.02190192980937005,0.11268280810131055,0.2820343974673443,0.26791699400532853,-0.39164897868127885,0.20688739008161916,1.0,0.021111245082699653,-0.20977324343099824
CV Accuracy (Mean),0.35683979691711576,0.2359391459514804,0.30394064470410476,0.3543098933378211,0.3951878017664135,0.3545105659339503,0.4362130305574096,0.35795129925036817,0.021111245082699653,1.0,0.5045424492609031
CV Accuracy (Std Dev),-0.3888694144183206,-0.34450551316606187,-0.2571544175270663,-0.35734094511167164,-0.4236688019574602,-0.38630703699879804,0.254406478042775,-0.38664526800411736,-0.20977324343099824,0.5045424492609031,1.0
