,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.6539520251671255,-0.07746755800235942,0.33228470310656705,0.9211716317164808,0.9095556429414078,-0.08295655752973856,0.9929217459693276,-0.14507568591693615,0.29917812710499525,-0.1950685224347588
Precision,0.6539520251671255,1.0,-0.5776641761698781,-0.17420369642154934,0.6231570790741024,0.4927251278018089,0.25280126299346867,0.6405819897758553,0.0648712416701747,0.4591781511245165,-0.06136987222666569
Recall,-0.07746755800235942,-0.5776641761698781,1.0,0.853716083366103,-0.05386278853826627,0.1655524970507275,-0.3526636592614952,-0.04758159653952025,0.05858069702336988,-0.04273973244357075,-0.38794526371856525
F1-Score,0.33228470310656705,-0.17420369642154934,0.853716083366103,1.0,0.30784352865301085,0.5493511600471883,-0.3809711101721169,0.3661030279197798,0.17259681874670724,0.21808222451975842,-0.26958908156713857
ROC-AUC,0.9211716317164808,0.6231570790741024,-0.05386278853826627,0.30784352865301085,1.0,0.8543345948441796,-0.060534591194968554,0.9117358147462735,-0.2130503144654088,0.1982475355969332,-0.2792990142387733
MCC,0.9095556429414078,0.4927251278018089,0.1655524970507275,0.5493511600471883,0.8543345948441796,1.0,-0.21112640470838676,0.9402280770743217,-0.0318458822744494,0.29917812710499525,-0.1950685224347588
Log Loss,-0.08295655752973856,0.25280126299346867,-0.3526636592614952,-0.3809711101721169,-0.060534591194968554,-0.21112640470838676,1.0,-0.08767446601484218,-0.4339622641509434,0.22015334063526834,0.4194961664841183
Cohen's Kappa,0.9929217459693276,0.6405819897758553,-0.04758159653952025,0.3661030279197798,0.9117358147462735,0.9402280770743217,-0.08767446601484218,1.0,-0.09239237449994579,0.29917812710499525,-0.1950685224347588
Execution Time (s),-0.14507568591693615,0.0648712416701747,0.05858069702336988,0.17259681874670724,-0.2130503144654088,-0.0318458822744494,-0.4339622641509434,-0.09239237449994579,1.0,0.0624315443592552,0.07995618838992333
CV Accuracy (Mean),0.29917812710499525,0.4591781511245165,-0.04273973244357075,0.21808222451975842,0.1982475355969332,0.29917812710499525,0.22015334063526834,0.29917812710499525,0.0624315443592552,1.0,0.4019715224534502
CV Accuracy (Std Dev),-0.1950685224347588,-0.06136987222666569,-0.38794526371856525,-0.26958908156713857,-0.2792990142387733,-0.1950685224347588,0.4194961664841183,-0.1950685224347588,0.07995618838992333,0.4019715224534502,1.0
