method,run,AUC-PR
run1-1,run1-1_WELFake_pr_curve.csv,0.806049689985407
run1-2,run1-2_WELFake_pr_curve.csv,0.8022323805431707
run1-3,run1-3_WELFake_pr_curve.csv,0.8036407371762452
run1-4,run1-4_WELFake_pr_curve.csv,0.8038403438624556
run1-5,run1-5_WELFake_pr_curve.csv,0.8050560993458804
run10,run10_WELFake_pr_curve.csv,0.809297323968751
run11,run11_WELFake_pr_curve.csv,0.8159786653437725
run12-catboost,run12-catboost_WELFake_pr_curve.csv,0.8037716472300034
run12-rf,run12-rf_WELFake_pr_curve.csv,0.842736281682145
run13,run13_WELFake_pr_curve.csv,0.8296450720126312
run14,run14_WELFake_pr_curve.csv,0.8396196352026423
run15,run15_WELFake_pr_curve.csv,0.8073998768987214
run16,run16_WELFake_pr_curve.csv,0.8395660163198473
run17,run17_WELFake_pr_curve.csv,0.8031916627979347
run18,run18_WELFake_pr_curve.csv,0.8068596984287418
run19,run19_WELFake_pr_curve.csv,0.8684508043149232
run20,run20_WELFake_pr_curve.csv,0.8073998768987214
run2,run2_WELFake_pr_curve.csv,0.8073998768987214
run3,run3_WELFake_pr_curve.csv,0.8073998768987214
run4,run4_WELFake_pr_curve.csv,0.8073998768987214
run5,run5_WELFake_pr_curve.csv,0.8360812239402343
run6,run6_WELFake_pr_curve.csv,0.8073998768987214
run7,run7_WELFake_pr_curve.csv,0.8146716580994902
run8,run8_WELFake_pr_curve.csv,0.8073998768987214
run9,run9_WELFake_pr_curve.csv,0.8105784167363309
