,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.8050685200949633,0.6239337405072052,0.7169315447459338,0.6475217248438228,0.9833423245831943,-0.7227985625708642,1.0,0.0679900103650085,0.27706276683050857,-0.3403382373905639
Precision,0.8050685200949633,1.0,0.8630672957677665,0.9235218850246079,0.49865199176714226,0.8285693587958953,-0.6264476299044441,0.8050685200949633,-0.1047436551608717,0.26333104098967025,-0.38578318172014275
Recall,0.6239337405072052,0.8630672957677665,1.0,0.9847039029871889,0.511205658241745,0.6536518387442692,-0.4988834143853773,0.6239337405072052,0.16252117713364805,0.1954407762485261,-0.25928148942086576
F1-Score,0.7169315447459338,0.9235218850246079,0.9847039029871889,1.0,0.5406939857411904,0.7387927701007285,-0.5603750692372755,0.7169315447459338,0.0712034366511111,0.24052038425403477,-0.29981267559834457
ROC-AUC,0.6475217248438228,0.49865199176714226,0.511205658241745,0.5406939857411904,1.0,0.637938418978927,-0.8008147513551707,0.6475217248438228,0.4301111869296317,0.009708788705680328,-0.4293387907410918
MCC,0.9833423245831943,0.8285693587958953,0.6536518387442692,0.7387927701007285,0.637938418978927,1.0,-0.7318503538819227,0.9833423245831943,0.11859239013421041,0.2811018474368259,-0.38578318172014275
Log Loss,-0.7227985625708642,-0.6264476299044441,-0.4988834143853773,-0.5603750692372755,-0.8008147513551707,-0.7318503538819227,1.0,-0.7227985625708642,-0.279874213836478,-0.058065724585407284,0.3423683940087303
Cohen's Kappa,1.0,0.8050685200949633,0.6239337405072052,0.7169315447459338,0.6475217248438228,0.9833423245831943,-0.7227985625708642,1.0,0.0679900103650085,0.27706276683050857,-0.3403382373905639
Execution Time (s),0.0679900103650085,-0.1047436551608717,0.16252117713364805,0.0712034366511111,0.4301111869296317,0.11859239013421041,-0.279874213836478,0.0679900103650085,1.0,-0.009677620764234547,-0.47075654176200415
CV Accuracy (Mean),0.27706276683050857,0.26333104098967025,0.1954407762485261,0.24052038425403477,0.009708788705680328,0.2811018474368259,-0.058065724585407284,0.27706276683050857,-0.009677620764234547,1.0,0.1722921969015792
CV Accuracy (Std Dev),-0.3403382373905639,-0.38578318172014275,-0.25928148942086576,-0.29981267559834457,-0.4293387907410918,-0.38578318172014275,0.3423683940087303,-0.3403382373905639,-0.47075654176200415,0.1722921969015792,1.0
