method,run,AUC-PR
run1-1,run1-1_ISOT_pr_curve.csv,0.5730952380952381
run1-2,run1-2_ISOT_pr_curve.csv,0.6914285714285714
run1-3,run1-3_ISOT_pr_curve.csv,0.5730952380952381
run1-4,run1-4_ISOT_pr_curve.csv,0.5730952380952381
run1-5,run1-5_ISOT_pr_curve.csv,0.5730952380952381
run10,run10_ISOT_pr_curve.csv,0.7766666666666666
run11,run11_ISOT_pr_curve.csv,0.6851190476190476
run12-catboost,run12-catboost_ISOT_pr_curve.csv,0.6529761904761905
run12-rf,run12-rf_ISOT_pr_curve.csv,0.7564285714285713
run13,run13_ISOT_pr_curve.csv,0.8599999999999999
run14,run14_ISOT_pr_curve.csv,0.9633333333333334
run15,run15_ISOT_pr_curve.csv,0.8163095238095237
run16,run16_ISOT_pr_curve.csv,1.0
run17,run17_ISOT_pr_curve.csv,0.6567460317460316
run18,run18_ISOT_pr_curve.csv,0.8267857142857142
run19,run19_ISOT_pr_curve.csv,1.0
run20,run20_ISOT_pr_curve.csv,0.8163095238095237
run2,run2_ISOT_pr_curve.csv,0.8163095238095237
run3,run3_ISOT_pr_curve.csv,0.8163095238095237
run4,run4_ISOT_pr_curve.csv,0.8163095238095237
run5,run5_ISOT_pr_curve.csv,0.9183333333333332
run6,run6_ISOT_pr_curve.csv,0.8163095238095237
run7,run7_ISOT_pr_curve.csv,0.7514285714285713
run8,run8_ISOT_pr_curve.csv,0.8163095238095237
run9,run9_ISOT_pr_curve.csv,0.8930952380952379
