method,metoda,AUC-PR
metoda1-1,run1-1_WELFake_pr_curve.csv,0.37579365079365074
metoda1-2,run1-2_WELFake_pr_curve.csv,0.37579365079365074
metoda1-3,run1-3_WELFake_pr_curve.csv,0.37579365079365074
metoda1-4,run1-4_WELFake_pr_curve.csv,0.3859126984126984
metoda1-5,run1-5_WELFake_pr_curve.csv,0.37579365079365074
metoda10,run10_WELFake_pr_curve.csv,0.8022222222222222
metoda11,run11_WELFake_pr_curve.csv,0.7180555555555554
metoda12-catboost,run12-catboost_WELFake_pr_curve.csv,0.6692460317460317
metoda12-rf,run12-rf_WELFake_pr_curve.csv,0.8163095238095237
metoda13,run13_WELFake_pr_curve.csv,1.0
metoda14,run14_WELFake_pr_curve.csv,0.7984126984126985
metoda15,run15_WELFake_pr_curve.csv,0.7432539682539683
metoda16,run16_WELFake_pr_curve.csv,1.0
metoda17,run17_WELFake_pr_curve.csv,0.4217460317460317
metoda18,run18_WELFake_pr_curve.csv,0.7543650793650793
metoda19,run19_WELFake_pr_curve.csv,0.5546428571428571
metoda20,run20_WELFake_pr_curve.csv,0.7432539682539683
metoda2,run2_WELFake_pr_curve.csv,0.7432539682539683
metoda3,run3_WELFake_pr_curve.csv,0.7432539682539683
metoda4,run4_WELFake_pr_curve.csv,0.7432539682539683
metoda5,run5_WELFake_pr_curve.csv,0.5688888888888889
metoda6,run6_WELFake_pr_curve.csv,0.7432539682539683
metoda7,run7_WELFake_pr_curve.csv,0.7400793650793651
metoda8,run8_WELFake_pr_curve.csv,0.7432539682539683
metoda9,run9_WELFake_pr_curve.csv,0.7514285714285713
