method,metoda,AUC-PR
metoda1-1,run1-1_BuzzFeed_pr_curve.csv,1.0
metoda1-2,run1-2_BuzzFeed_pr_curve.csv,1.0
metoda1-3,run1-3_BuzzFeed_pr_curve.csv,0.25
metoda1-4,run1-4_BuzzFeed_pr_curve.csv,0.25
metoda1-5,run1-5_BuzzFeed_pr_curve.csv,0.25
metoda10,run10_BuzzFeed_pr_curve.csv,1.0
metoda11,run11_BuzzFeed_pr_curve.csv,1.0
metoda12-catboost,run12-catboost_BuzzFeed_pr_curve.csv,1.0
metoda12-rf,run12-rf_BuzzFeed_pr_curve.csv,1.0
metoda13,run13_BuzzFeed_pr_curve.csv,1.0
metoda14,run14_BuzzFeed_pr_curve.csv,1.0
metoda16,run16_BuzzFeed_pr_curve.csv,0.75
metoda17,run17_BuzzFeed_pr_curve.csv,1.0
metoda18,run18_BuzzFeed_pr_curve.csv,1.0
metoda19,run19_BuzzFeed_pr_curve.csv,1.0
metoda3,run3_BuzzFeed_pr_curve.csv,1.0
metoda5,run5_BuzzFeed_pr_curve.csv,1.0
metoda7,run7_BuzzFeed_pr_curve.csv,1.0
metoda9,run9_BuzzFeed_pr_curve.csv,1.0
