,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.9000000000000001,0.566946709513841,0.8090398349558904,0.4719399037242697,1.0000000000000004,-0.39005438425020195,1.0000000000000004,-0.6865317058386491,,
Precision,0.9000000000000001,1.0,0.8693182879212229,0.9843317991963334,0.3820465887291706,0.9000000000000001,-0.3396634423808739,0.9000000000000001,-0.47838280014292994,,
Recall,0.566946709513841,0.8693182879212229,1.0,0.9428473041596074,0.18687063686046274,0.5669467095138407,-0.1996234706357368,0.5669467095138407,-0.12560473155921253,,
F1-Score,0.8090398349558904,0.9843317991963334,0.9428473041596074,1.0,0.32424242424242417,0.8090398349558905,-0.30021732494515063,0.8090398349558905,-0.3673354871304445,,
ROC-AUC,0.4719399037242697,0.3820465887291706,0.18687063686046274,0.32424242424242417,1.0,0.4719399037242695,-0.4286685595117767,0.4719399037242695,-0.6177077236849711,,
MCC,1.0000000000000004,0.9000000000000001,0.5669467095138407,0.8090398349558905,0.4719399037242695,1.0,-0.3900543842502018,1.0,-0.6865317058386489,,
Log Loss,-0.39005438425020195,-0.3396634423808739,-0.1996234706357368,-0.30021732494515063,-0.4286685595117767,-0.3900543842502018,1.0,-0.39005438425020184,0.5750584714212305,,
Cohen's Kappa,1.0000000000000004,0.9000000000000001,0.5669467095138407,0.8090398349558905,0.4719399037242695,1.0,-0.39005438425020184,1.0,-0.6865317058386489,,
Execution Time (s),-0.6865317058386491,-0.47838280014292994,-0.12560473155921253,-0.3673354871304445,-0.6177077236849711,-0.6865317058386489,0.5750584714212305,-0.6865317058386489,1.0,,
CV Accuracy (Mean),,,,,,,,,,,
CV Accuracy (Std Dev),,,,,,,,,,,
