metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.7368421052631579,0.25649458802128855,1.182605327007362e-05,False
Precision,Shapiro-Wilk,0.6052631578947368,0.42749098003548086,0.00036514208526719423,False
Recall,Shapiro-Wilk,0.7368421052631579,0.45241392835886407,1.599908605586187e-06,False
F1-Score,Shapiro-Wilk,0.6491228070175438,0.4227143945848234,0.0001351127143537987,False
ROC-AUC,Shapiro-Wilk,0.8157894736842105,0.380442955126341,7.413994202270019e-07,False
MCC,Shapiro-Wilk,0.47368421052631576,0.5129891760425771,1.182605327007362e-05,False
Log Loss,Shapiro-Wilk,0.5945701338126884,0.11864502941376823,0.002485959629965167,False
Cohen's Kappa,Shapiro-Wilk,0.47368421052631576,0.5129891760425771,1.182605327007362e-05,False
Execution Time (s),Shapiro-Wilk,4.815526196831151,6.2824281619033115,4.0500492897818455e-05,False
CV Accuracy (Mean),Shapiro-Wilk,,,,
CV Accuracy (Std Dev),Shapiro-Wilk,,,,
