metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.6842105263157895,0.2986323601850737,0.00022400353946037564,False
Precision,Shapiro-Wilk,0.47368421052631576,0.4851598880359591,6.177726806808019e-05,False
Recall,Shapiro-Wilk,0.5263157894736842,0.5129891760425771,1.1826053270073575e-05,False
F1-Score,Shapiro-Wilk,0.4912280701754385,0.4889952037512718,5.1079605889929045e-05,False
ROC-AUC,Shapiro-Wilk,0.6842105263157895,0.4775669329409193,3.5666299552570535e-06,False
MCC,Shapiro-Wilk,0.3684210526315789,0.5972647203701474,0.00022400353946037564,False
Log Loss,Shapiro-Wilk,0.95424829369615,0.6719394180035451,3.2081178828362376e-06,False
Cohen's Kappa,Shapiro-Wilk,0.3684210526315789,0.5972647203701474,0.00022400353946037564,False
Execution Time (s),Shapiro-Wilk,151.33839570848565,190.46574923143513,0.0003272100153155278,False
CV Accuracy (Mean),Shapiro-Wilk,,,,
CV Accuracy (Std Dev),Shapiro-Wilk,,,,
