,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,1.0,0.927980291779807,0.8054404112916508,0.927980291779807,0.6196572265531346,1.0,-0.6300607815894085,1.0,-0.1676854678560788,,
Precision,0.927980291779807,1.0,0.9562627790904532,1.0,0.6847939995969579,0.927980291779807,-0.7264454906893325,0.927980291779807,-0.2034047373930131,,
Recall,0.8054404112916508,0.9562627790904532,1.0,0.9562627790904532,0.7161148740394329,0.8054404112916508,-0.769800358919501,0.8054404112916508,-0.19245008972987526,,
F1-Score,0.927980291779807,1.0,0.9562627790904532,1.0,0.6847939995969579,0.927980291779807,-0.7264454906893325,0.927980291779807,-0.2034047373930131,,
ROC-AUC,0.6196572265531346,0.6847939995969579,0.7161148740394329,0.6847939995969579,1.0,0.6196572265531346,-0.7648808633001188,0.6196572265531346,-0.06201736729460423,,
MCC,1.0,0.927980291779807,0.8054404112916508,0.927980291779807,0.6196572265531346,1.0,-0.6300607815894085,1.0,-0.1676854678560788,,
Log Loss,-0.6300607815894085,-0.7264454906893325,-0.769800358919501,-0.7264454906893325,-0.7648808633001188,-0.6300607815894085,1.0,-0.6300607815894085,0.031578947368421054,,
Cohen's Kappa,1.0,0.927980291779807,0.8054404112916508,0.927980291779807,0.6196572265531346,1.0,-0.6300607815894085,1.0,-0.1676854678560788,,
Execution Time (s),-0.1676854678560788,-0.2034047373930131,-0.19245008972987526,-0.2034047373930131,-0.06201736729460423,-0.1676854678560788,0.031578947368421054,-0.1676854678560788,1.0,,
CV Accuracy (Mean),,,,,,,,,,,
CV Accuracy (Std Dev),,,,,,,,,,,
