,Accuracy,Precision,Recall,F1-Score,ROC-AUC,MCC,Log Loss,Cohen's Kappa,Execution Time (s),CV Accuracy (Mean),CV Accuracy (Std Dev)
Accuracy,,,,,,,,,,,
Precision,,1.0,1.0,1.0,0.07693218186208296,,-0.3162277660168379,,-0.07905694150420947,,
Recall,,1.0,1.0,1.0,0.07693218186208296,,-0.3162277660168379,,-0.07905694150420947,,
F1-Score,,1.0,1.0,1.0,0.07693218186208296,,-0.3162277660168379,,-0.07905694150420947,,
ROC-AUC,,0.07693218186208296,0.07693218186208296,0.07693218186208296,1.0,,-0.7590364705574849,,0.11677484162422845,,
MCC,,,,,,,,,,,
Log Loss,,-0.3162277660168379,-0.3162277660168379,-0.3162277660168379,-0.7590364705574849,,1.0,,-0.08421052631578947,,
Cohen's Kappa,,,,,,,,,,,
Execution Time (s),,-0.07905694150420947,-0.07905694150420947,-0.07905694150420947,0.11677484162422845,,-0.08421052631578947,,1.0,,
CV Accuracy (Mean),,,,,,,,,,,
CV Accuracy (Std Dev),,,,,,,,,,,
