metric,test,mean,std,p_value,normal_distribution
Accuracy,Shapiro-Wilk,0.6118918918918919,0.06660576716855683,0.015091784145487504,False
Precision,Shapiro-Wilk,0.6141762737296457,0.08454360484296108,0.02694093151663531,False
Recall,Shapiro-Wilk,0.66,0.19065082382595255,0.0016707959136086,False
F1-Score,Shapiro-Wilk,0.6108086550044188,0.10695973414858084,2.8621373533147383e-06,False
ROC-AUC,Shapiro-Wilk,0.7126315789473685,0.06706193099539225,0.004059548771777879,False
MCC,Shapiro-Wilk,0.23768539445280648,0.12414084339198557,0.06973866737623534,True
Log Loss,Shapiro-Wilk,0.9678911571524208,1.5068211039372361,2.1409593418562197e-10,False
Cohen's Kappa,Shapiro-Wilk,0.22619662193883122,0.12827360613308453,0.038839590548015536,False
Execution Time (s),Shapiro-Wilk,5.804018392562866,5.932581333017688,4.6261035990713254e-05,False
CV Accuracy (Mean),Shapiro-Wilk,0.6405462184873949,0.03597984254590136,0.12835382240267262,True
CV Accuracy (Std Dev),Shapiro-Wilk,0.1581648330929844,0.04709787737906245,0.011716778648472615,False
