method,metric,p_value,normal_distribution
metoda1-1,Accuracy,,
metoda1-2,Accuracy,,
metoda1-3,Accuracy,,
metoda1-4,Accuracy,,
metoda1-5,Accuracy,,
metoda10,Accuracy,,
metoda11,Accuracy,,
metoda12-catboost,Accuracy,,
metoda12-rf,Accuracy,,
metoda13,Accuracy,,
metoda14,Accuracy,,
metoda15,Accuracy,,
metoda16,Accuracy,,
metoda17,Accuracy,,
metoda18,Accuracy,,
metoda19,Accuracy,,
metoda2,Accuracy,,
metoda20,Accuracy,,
metoda3,Accuracy,,
metoda4,Accuracy,,
metoda5,Accuracy,,
metoda6,Accuracy,,
metoda7,Accuracy,,
metoda8,Accuracy,,
metoda9,Accuracy,,
